61635, DELTALAB , DELTALAB, NOT FOUND, LOC. 100 ML x 1, MB9
67648, DELTALAB , DELTALAB, NOT FOUND, LOC. 100 ML x 162, MB9
61636, DELTALAB , DELTALAB, NOT FOUND, XAMP 100 ML x 1, MB9
67649, DELTALAB , DELTALAB, NOT FOUND, XAMP 100 ML x 162, MB9
61637, DENTISAN , DENTISAN, NOT FOUND, FLACONETES 10 ML x 12, MB9
75558, DERMESAN , DERMESAN, NOT FOUND, GEL. 5 % 20 G x 1, MB9
77357, DERMO-TRIMAZEN , DERMO TRIMAZEN, NOT FOUND, CREME DERMAT 10 MG 20 G x 1 (/G), MB9
164459, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.10 MG 100 ML x 1 (/ML), MB9
83721, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR 50 MG x 20, MB9
63588, DICLOSODICO , DICLOSODICO, NOT FOUND, CPR 50 MG x 1000, MB9
61638, DICLOSODICO , DICLOSODICO, NOT FOUND, CPR 50 MG x 20, MB9
71507, DIPIRAL , DIPIRAL, NOT FOUND, CPR 500 MG x 200, MB9
71508, DIPIRAL , DIPIRAL, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), MB9
71509, DIPIRAL , DIPIRAL, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), MB9
71397, DIUREMIL , DIUREMIL, NOT FOUND, CPR 40 MG x 20, MB9
69321, DORALFEBRE , DORALFEBRE, NOT FOUND, CPR 750 MG x 200, MB9
66824, DORSANOL , DORSANOL, NOT FOUND, CPR 500 MG x 20, MB9
66823, DORSANOL , DORSANOL, NOT FOUND, CPR 500 MG x 200, MB9
66822, DORSANOL , DORSANOL, NOT FOUND, CPR 750 MG x 20, MB9
66825, DORSANOL , DORSANOL, NOT FOUND, CPR 750 MG x 200, MB9
66827, DORSANOL , DORSANOL, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), MB9
164460, DORSANOL , DORSANOL, NOT FOUND, PO ENV ABACA 500 MG 5 G x 50, MB9
159938, DORSANOL , DORSANOL, NOT FOUND, PO ENV CA EC 500 MG 5 G x 50, MB9
162942, DORSANOL , DORSANOL, NOT FOUND, PO ENV LAR 5 G x 50, MB9
162439, DORSANOL , DORSANOL, NOT FOUND, PO ENV MA/CA 500 MG 5 G x 50, MB9
159939, DORSANOL , DORSANOL, NOT FOUND, PO ENV ME LI 500 MG 5 G x 50, MB9
66826, DORSANOL , DORSANOL, NOT FOUND, SUSP ORAL 160 MG 60 ML x 1 (/5ML), MB9
