511516301117418, BONEPREV, BONEPREV, NOT FOUND, 70 MG COM REV CT BL AL/AL X 4, SDZ
511512004118115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL/AL X 30, SDZ
511512002115119, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL/AL X 30, SDZ
511511601112119, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/ AL X 14, SDZ
511511602119117, BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL, BISSULFATO CLOPIDOGREL, 75 MG COM REV CT BL AL/ AL X 28, SDZ
511514001116118, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20 , SDZ
511513801119415, BROMALEX, BROMALEX, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 30, SDZ
511514004115112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30 , SDZ
511514003119114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20, SDZ
511513802115413, BROMALEX, BROMALEX, NOT FOUND, 6 MG COM CT BL AL PLAS INC X 30, SDZ
511514005111110, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30 , SDZ
