511514090059103; SOTAHEXAL; SOTAHEXAL; NOT FOUND; 160 MG COM CT BL AL PVC/PE/PVDC X 30; SDZ
511510301115416; SOTAHEXAL; SOTAHEXAL; NOT FOUND; 160 MG COM CT BL AL PLAS INC X 20; SDZ
511513100057903; SOTAHEXAL; SOTAHEXAL; NOT FOUND; 160 MG COM CT BL AL PVC/PE/PVDC X 20; SDZ
511514050058406; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM CT BL AL PLAS OPC X 2; SDZ
511514050058506; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM CT BL AL PLAS OPC X 4; SDZ
511508401116412; SECNIHEXAL; SECNIHEXAL; NOT FOUND; 1000 MG COM CT BL AL PLAS INC X 2; SDZ
511512110056303; SECNIHEXAL; SECNIHEXAL; NOT FOUND; 1000 MG COM CT BL AL PLAS OPC X 2; SDZ
511508402112410; SECNIHEXAL; SECNIHEXAL; NOT FOUND; 1000 MG COM CT BL AL PLAS INC X 4; SDZ
511512110056403; SECNIHEXAL; SECNIHEXAL; NOT FOUND; 1000 MG COM CT BL AL PLAS OPC X 4; SDZ
511515503115116; SIMETICONA; SIMETICONA; SIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; SDZ
511515502119118; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; SDZ
511515501139115; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; SDZ
511508501110416; SINVASTACOR; SINVASTACOR; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508610114110; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508616112111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 10; SDZ
511508502117414; SINVASTACOR; SINVASTACOR; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508611110119; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508506112417; SINVASTACOR; SINVASTACOR; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60 ; SDZ
511508615116111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 60; SDZ
511508503113412; SINVASTACOR; SINVASTACOR; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 10; SDZ
511508505116419; SINVASTACOR; SINVASTACOR; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30  ; SDZ
511508609116113; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508504111413; SINVASTACOR; SINVASTACOR; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30 ; SDZ
511508612117117; SINVASTATINA; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508507119415; SINVASTACOR; SINVASTACOR; NOT FOUND; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
511508613113115; SINVASTATINA; SINVASTATINA; SINVASTATINA; 80 MG COM REV CT BL AL PLAS INC X 30; SDZ
511516801111117; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 20; SDZ
511516802116112; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 800 MG + 160 MG COM CT BL AL PLAS INC X 10; SDZ
