511512070054704; RAZAPINA ODT; RAZAPINA ODT; NOT FOUND; 15 MG COM ORODISP CT BL AL AL X 28; SDZ
511512070054804; RAZAPINA ODT; RAZAPINA ODT; NOT FOUND; 15 MG COM ORODISP CT BL AL AL X 7; SDZ
511512070054904; RAZAPINA ODT; RAZAPINA ODT; NOT FOUND; 30 MG COM ORODISP CT BL AL AL X 14; SDZ
511515602113413; RAZAPINA; RAZAPINA; NOT FOUND; 30 MG COM REV CT BL AL/PLAS INC X 14; SDZ
511512070055004; RAZAPINA ODT; RAZAPINA ODT; NOT FOUND; 30 MG COM ORODISP CT BL AL AL X 28; SDZ
511515603111414; RAZAPINA; RAZAPINA; NOT FOUND; 30 MG COM REV CT BL AL/PLAS INC X 28; SDZ
511515601117415; RAZAPINA; RAZAPINA; NOT FOUND; 30 MG COM REV CT BL AL/PLAS INC X 7; SDZ
511512070055104; RAZAPINA ODT; RAZAPINA ODT; NOT FOUND; 45 MG COM ORODISP CT BL AL AL X 28; SDZ
511515604116411; RAZAPINA; RAZAPINA; NOT FOUND; 45 MG COM REV CT BL AL/PLAS INC X 28; SDZ
511513070057206; RABEPRAZOL SÓDICO; RABEPRAZOL SODICO; RABEPRAZOL SODICO; 10 MG COM REV LIB RETARD CT BL AL AL X 14; SDZ
511513070057306; RABEPRAZOL SÓDICO; RABEPRAZOL SODICO; RABEPRAZOL SODICO; 20 MG COM REV LIB RETARD CT BL AL AL X 14; SDZ
511513070057406; RABEPRAZOL SÓDICO; RABEPRAZOL SODICO; RABEPRAZOL SODICO; 20 MG COM REV LIB RETARD CT BL AL AL X 28; SDZ
511514202111113; RAMIPRIL; RAMIPRIL; RAMIPRIL; 5 MG COM CT STR AL/AL X 30; SDZ
511514201115115; RAMIPRIL; RAMIPRIL; RAMIPRIL; 2.5 MG COM CT STR AL/AL X 30; SDZ
511518501113110; RILUZOL; RILUZOL; RILUZOL; 50 MG COM REV CT BL AL PLAS OPC X 60; SDZ
511512110055903; RISPALUM; RISPALUM; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 20; SDZ
511516101118119; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 20; SDZ
511512110056003; RISPALUM; RISPALUM; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 60; SDZ
511516102114117; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 60; SDZ
511512110056103; RISPALUM; RISPALUM; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20 ; SDZ
511516103110115; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 20; SDZ
511512110056203; RISPALUM; RISPALUM; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 20; SDZ
511516104117113; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 20; SDZ
511518601118416; ROSULIB; ROSULIB; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; SDZ
511518301114113; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; SDZ
511518602114414; ROSULIB; ROSULIB; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; SDZ
511518302110111; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; SDZ
511518603110412; ROSULIB; ROSULIB; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; SDZ
