511500101113110; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; SDZ
511500102111111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
511500104163119; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; SDZ
511516202119110; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 4; SDZ
511516201112112; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM REV CT BL AL/AL X 8; SDZ
511500201118114; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300 MG COM CT BL AL PLAS TRANS X 30; SDZ
511514301111111; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 16; SDZ
511514303112115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; SDZ
511514304119113; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; SDZ
511500501138412; AMOXINA; AMOXINA; NOT FOUND; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML ; SDZ
511500503114413; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; SDZ
511500504110411; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; SDZ
511500502118415; AMOXINA; AMOXINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; SDZ
511513040056706; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 14 ; SDZ
511513040056806; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 21; SDZ
511512207116117; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 12; SDZ
511512208112115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 14; SDZ
511512209119113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR PLAS OPC X 20; SDZ
511512204133118; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO P/ SUSP ORAL CT FR VD AMB X 100 ML + COL DOSAD; SDZ
