511513101117411, FESTONE, FESTONE, NOT FOUND, 10 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
511513102113418, FESTONE, FESTONE, NOT FOUND, 20 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
511512601116112, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL AL PLAS INC X 30, SDZ
511512603119119, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5 MG COM REV CT BL AL PLAS INC X 30, SDZ
511512070054503, FLUTEC, FLUTEC, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1   , SDZ
511514802119115, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 , SDZ
511512070054603, FLUTEC, FLUTEC, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2  , SDZ
511514801112117, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, SDZ
511517801113118, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV OR CT BL AL PLAS INC X 28, SDZ
511517802111119, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV OR CT BL AL PLAS INC X 28, SDZ
511517803116114, FUMARATO DE QUETIAPINA, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 14, SDZ
511512060054403, FLOX, FLOX, NOT FOUND, 400 MG COM REV CT BL AL / AL X 14 , SDZ
511512801131417, FAXIMIN, FAXIMIN, NOT FOUND, 1500 MG PO P/ SOL OR CT 15 SACH X 4.0 G, SDZ
