511518102111114, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT FR PLAS OPC X 10, SDZ
511518103118112, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT FR PLAS OPC X 30, SDZ
511518101115116, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5.0 MG COM REV CT FR PLAS OPC X 10, SDZ
511518104114110, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5.0 MG COM REV CT FR PLAS OPC X 30, SDZ
511507401112419, OMEPROTEC, OMEPROTEC, NOT FOUND, 10 MG CAP GEL DURA CT FR PLAS OPC X 14 , SDZ
511507403115415, OMEPROTEC, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 14, SDZ
511507405118411, OMEPROTEC, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28 , SDZ
511507402119417, OMEPROTEC, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 7 , SDZ
511507404111413, OMEPROTEC, OMEPROTEC, NOT FOUND, 40 MG CAP GEL DURA CT FR PLAS OPC X 7, SDZ
511518001153415, OMNITROPE, OMNITROPE, NOT FOUND, 5 MG SOL INJ CT CARP VD INC X 1.5 ML, SDZ
511518002151416, OMNITROPE, OMNITROPE, NOT FOUND, 10 MG SOL INJ CT CARP VD INC X 1.5 ML, SDZ
