511502902164410, DEXAMETONAL, DEXAMETONAL, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 10 G, SDZ
511516902110418, DESARCOR, DESARCOR, NOT FOUND, 16 MG COM CT BL AL/AL X 30, SDZ
511516901114411, DESARCOR, DESARCOR, NOT FOUND, 8 MG COM CT BL AL/AL X 30, SDZ
511516903117416, DESARCOR, DESARCOR, NOT FOUND, 8 MG COM CT BL AL/AL X 7, SDZ
511503001111412, DIASEC, DIASEC, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 12, SDZ
511503002116418, DIASEC, DIASEC, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 200 (EMB MULT), SDZ
511512100055806, DESOGESTREL, DESOGESTREL, DESOGESTREL, 0.075 MG COM REV CT BL AL PLAS TRANS X 28 , SDZ
511503101114413, DICLAC, DICLAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, SDZ
511503102110411, DICLAC SR, DICLAC SR, NOT FOUND, 75 MG COM LIB LENTA CT BL AL PLAS INC X 20, SDZ
511503303116115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT BL AL PLAS INC X 12, SDZ
511503304112113, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT BL AL PLAS INC X 6, SDZ
511517101111112, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 0.125 MG COM CT BL AL/AL X 30, SDZ
511517103114119, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 0.250 MG COM CT BL AL/AL X 30, SDZ
511517102118110, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 1 MG COM CT BL AL/AL X 30, SDZ
511503401118112, DOXICICLINA, DOXICICLINA, DOXICICLINA, 100 MG COM SOLUV CT BL AL PLAS INC X 15, SDZ
511503402114110, DOXICICLINA, DOXICICLINA, DOXICICLINA, 100 MG COM SOLUV CT BL AL PLAS INC X 20, SDZ
511514020058006, DROSPIRENONA / ETINILESTRADIOL, DROSPIRENONA ETINILESTRADIOL, NOT FOUND, 3.00 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21., SDZ
511515103117413, DOXURAN, DOXURAN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 10, SDZ
511515104113411, DOXURAN, DOXURAN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, SDZ
511515101114417, DOXURAN, DOXURAN, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 20, SDZ
511515102110415, DOXURAN, DOXURAN, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, SDZ
