511508701111416, VERTIRIZYM, VERTIRIZYM, NOT FOUND, 75 MG COM CT 01 STR X 30, SDZ
511517002113419, VIDENFIL, VIDENFIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 4, SDZ
511517001117410, VIDENFIL, VIDENFIL, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 4, SDZ
511517003111411, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 1, SDZ
511517004116415, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 2, SDZ
511517005112413, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 4, SDZ
511517006119411, VIDENFIL, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 8, SDZ
511509902178419, VISUAL, VISUAL, NOT FOUND, 0.15 MG/ML + 0.30 MG/ML SOL OFT CT FR PLAS TRANS GOT X 20 ML, SDZ
511509802114419, VIBRADOXIN, VIBRADOXIN, NOT FOUND, 100 MG COM SOL CT BL AL PLAS INC X 15 , SDZ
511518702119116, VALSARTANA, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 28, SDZ
511518703115114, VALSARTANA, VALSARTANA, VALSARTANA, 320 MG COM REV CT BL AL/AL X 28, SDZ
511518701112118, VALSARTANA, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 28, SDZ
