511501101117114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501104116119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501105112117, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501107115113, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 3 BL AL PLAS INC X 10, SDZ
511501108111111, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50MG COM CT 6 BL AL PLAS INC X 10, SDZ
511501301116413, CAPTOTEC, CAPTOTEC, NOT FOUND, 12.5 MG COM CT 2 BL AL PLAS INC X 15, SDZ
511501302112411, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501304115418, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT 4 BL AL PLAS INC X 14, SDZ
511501305111416, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, SDZ
511501306118414, CAPTOTEC, CAPTOTEC, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, SDZ
511501303119411, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 14, SDZ
511501307114412, CAPTOTEC, CAPTOTEC, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, SDZ
511501401110417, CAPTOTEC HCT, CAPTOTEC HCT, NOT FOUND, 50 MG + 25 MG COM CT BL AL PLAS INC X 30, SDZ
511512902132117, CEFADROXILA, CEFADROXILA, CEFADROXILA, 100 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512901136119, CEFADROXILA, CEFADROXILA, CEFADROXILA, 50 MG/ML PO P/ SUS OR CT FR VD AMB X 100 ML + COL DOSAD, SDZ
511512903112111, CEFADROXILA, CEFADROXILA, CEFADROXILA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 08, SDZ
