1008400750148; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; ZAM
1008400750261; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
1008400750271; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
1008400750288; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 120 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
1008400750377; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/ML XPE CT FR VD AMB X 120ML + CP DOSAD SBR MORANGO C/ ROMA; ZAM
1008400750326; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP DOSAD SBR FRAMBOESA; ZAM
1008400750334; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 150 ML + CP DOSAD SBR FRAMBOESA; ZAM
1008400750407; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP DOSAD SBR FRAMBOESA; ZAM
1008400750601; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/G GRAN CT 6 ENV AL PE X 5 G; ZAM
1008400750733; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD SBR FRAMBOESA; ZAM
1008400751128; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 200 MG COM EFEV CT BL AL/AL X 16; ZAM
1008400751039; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 600 MG COM EFEV CT BL AL/AL X 16; ZAM
1008400750423; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 11.50 MG/ML SOL NAS CT FR VD AMB X 20 ML + CGT (BULBO+CANULA); ZAM
1008400750342; FLUIMUCIL; FLUIMUCIL; NOT FOUND; SOL NASAL FR VD CGT X 12ML; ZAM
1008400750441; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 11.50 MG/ML SOL NAS CT FR VD AMB X 20 ML + MICRONEBULIZADOR; ZAM
1008400750229; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 600 MG COM EFERV CT STR X 16; ZAM
1008401520030; FENOZAN; FENOZAN; NOT FOUND; 0.25MG/ML XPE FR VD X 120ML; ZAM
1008401520014; FENOZAN; FENOZAN; NOT FOUND; 5.0MG/ML SOL FR VD X 20ML; ZAM
ISENTO; FLUIMARE; FLUIMARE; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC X 50 ML + MICRO NEB; ZAM
1008499460082; FLUIMARE; FLUIMARE; NOT FOUND; 30 MG/ML SOL NAS CT FR PLAS OPC X 50 ML + MICRO NEBULIZADOR; ZAM
