543815010000006; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 30; AH_
543815010000106; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 60 ; AH_
543815010000206; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); AH_
543815010000306; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 30 ; AH_
543815010000406; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 60; AH_
543815010000506; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); AH_
542114040001606; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 4; AH_
542114040001706; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; AH_
542114040001806; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 12; AH_
542113040000406; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1; AH_
542113040000506; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; AH_
