517100901162415; BIO-VAGIN; BIO VAGIN; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG PLAS OPC X 40 G + 10 APL ; ELO
517100902169413; BIO-VAGIN; BIO VAGIN; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG PLAS OPC X 40 G + 1 APL; ELO
517100702135418; BIALERGE; BIALERGE; NOT FOUND; 0.8MG/ML + 1 MG/ML ELIXIR CT FR VID AMB X 100 ML; ELO
517100703131416; BIALERGE; BIALERGE; NOT FOUND; 2 MG/ML + 2.5 MG/ML SOL OR CT FR PLAS OP GOT X 20 ML; ELO
517100701112414; BIALERGE; BIALERGE; NOT FOUND; 4 MG + 5 MG COM CT ENV PAPEL KRAFT E POLIET 5 X 4; ELO
517100601169414; BENZEVIT; BENZEVIT; NOT FOUND; 200 MG/G + 100000UI/G CREM DERM CT BG AL X 40 G; ELO
517100502111418; BACFAR; BACFAR; NOT FOUND; 400 MG + 80 MG COM CT ENV AL X 20; ELO
517100503132419; BACFAR; BACFAR; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML; ELO
517100505135415; BACFAR; BACFAR; NOT FOUND; 80 MG/ML + 16 MG/ML SUS OR CT FR VD AMB X 100 ML ; ELO
517100504139417; BACFAR; BACFAR; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 50 ML; ELO
517100506115418; BACFAR; BACFAR; NOT FOUND; 800 MG + 160 MG COM CT ENV AL POLIET X 10; ELO
