502824502114417; HAVANTE; HAVANTE; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; S_A
502824501118419; HAVANTE; HAVANTE; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 2; S_A
502824503110415; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; S_A
502824504117413; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; S_A
502824505113411; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; S_A
502824506111412; HAVANTE; HAVANTE; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; S_A
502806001176314; HEXOMEDINE; HEXOMEDINE; NOT FOUND; 1.0 MG/ML + 0.5 MG/ML COLUT CT FR PLAS OPC SPR X 30 ML; S_A
502805902137310; HEXOMEDINE; HEXOMEDINE; NOT FOUND; 1.0 MG/ML + 0.5 MG/ML COLUT CT FR VD INC SPR X 50 ML; S_A
502806101111311; HIDANTAL; HIDANTAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 25; S_A
502806102150310; HIDANTAL; HIDANTAL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML; S_A
502814080067406; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; S_A
502815501119114; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL PAPEL PLAS INC X 30; S_A
502815502115112; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 20 ; S_A
502805901114317; HEMOGENIN; HEMOGENIN; NOT FOUND; 50 MG COM CT BL AL PLAS AMB X 10; S_A
