502820101115215; MULTAQ; MULTAQ; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 20; S_A
502820102111213; MULTAQ; MULTAQ; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 60; S_A
502807603110311; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 30 CEREJA; S_A
502807605113316; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 300 CEREJA; S_A
502807606111317; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 300 MENTA; S_A
502807604117318; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 30 MENTA; S_A
502807704138317; MAALOX; MAALOX; NOT FOUND; 37 MG/ML + 40 MG/ML + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML CEREJA; S_A
502807706130313; MAALOX; MAALOX; NOT FOUND; 37 MG/ML + 40 MG/ML + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML MENTA; S_A
502818602161110; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GELE VAG CT BG PLAS OPC X 50 G + 10 APLIC; S_A
502818601114119; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 400 MG COM REV BL AL PLAS INC X 24; S_A
502816801167112; METRONIDAZOL + NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG/G + 20000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC; S_A
