504901603117411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, BRT
504901601114413, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 14, BRT
504901602110411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 7, BRT
504901701143415, GLICEL, GLICEL, NOT FOUND, 0.831G SUP CT STR PLAS X 6, BRT
504901702141416, GLICEL, GLICEL, NOT FOUND, 2.254G SUP CT STR PLAS X 6, BRT
504901802136414, GRIPALCÊ, GRIPALCE, NOT FOUND, 100 MG + 2 MG + 2 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, BRT
504901803116417, GRIPALCÊ, GRIPALCE, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA BL AL PLAS INC X 200 (EMB MULTIPLA), BRT
504901801113410, GRIPALCÊ, GRIPALCE, NOT FOUND, 400+4+4MG CAP GEL DURA CT FR VD AMB X 20, BRT
504901603117411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, BRT
504901601114413, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 14, BRT
504901602110411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 7, BRT
504901701143415, GLICEL, GLICEL, NOT FOUND, 0.831G SUP CT STR PLAS X 6, BRT
504901702141416, GLICEL, GLICEL, NOT FOUND, 2.254G SUP CT STR PLAS X 6, BRT
504901802136414, GRIPALCÊ, GRIPALCE, NOT FOUND, 100 MG + 2 MG + 2 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, BRT
504901803116417, GRIPALCÊ, GRIPALCE, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA BL AL PLAS INC X 200 (EMB MULTIPLA), BRT
504901801113410, GRIPALCÊ, GRIPALCE, NOT FOUND, 400+4+4MG CAP GEL DURA CT FR VD AMB X 20, BRT
504901603117411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, BRT
504901601114413, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 14, BRT
504901602110411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 7, BRT
504901701143415, GLICEL, GLICEL, NOT FOUND, 0.831G SUP CT STR PLAS X 6, BRT
504901702141416, GLICEL, GLICEL, NOT FOUND, 2.254G SUP CT STR PLAS X 6, BRT
504901802136414, GRIPALCÊ, GRIPALCE, NOT FOUND, 100 MG + 2 MG + 2 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, BRT
504901803116417, GRIPALCÊ, GRIPALCE, NOT FOUND, 400 MG + 4 MG + 4 MG CAP GEL DURA BL AL PLAS INC X 200 (EMB MULTIPLA), BRT
504901801113410, GRIPALCÊ, GRIPALCE, NOT FOUND, 400+4+4MG CAP GEL DURA CT FR VD AMB X 20, BRT
504901603117411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 28, BRT
504901601114413, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 14, BRT
504901602110411, GASTROCIMET, GASTROCIMET, NOT FOUND, 20MG CAP GEL DURA CT FR PLAS OPC X 7, BRT
504901701143415, GLICEL, GLICEL, NOT FOUND, 0.831G SUP CT STR PLAS X 6, BRT
504901702141416, GLICEL, GLICEL, NOT FOUND, 2.254G SUP CT STR PLAS X 6, BRT
