1562600210046; TRANQUINAL; TRANQUINAL; NOT FOUND; 2.00 MG COM CT BL AL PVC X 20; BAG
1562600210011; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.25 MG COM CT BL AL PVC X 20; BAG
1562600210021; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.5 MG COM CT BL AL PVC X 20; BAG
1562600210038; TRANQUINAL; TRANQUINAL; NOT FOUND; 1.00 MG COM CT BL AL PVC X 20; BAG
1562600190010; TRANQUINAL SLG; TRANQUINAL SLG; NOT FOUND; 0.5 MG COM SUB-LINGUAL CT BL AL PLAST INC X 15; BAG
1562600190029; TRANQUINAL SLG; TRANQUINAL SLG; NOT FOUND; 0.5 MG COM SUB-LINGUAL CT BL AL PLAST INC X 30; BAG
1562600210054; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.25 MG COM CT BL AL PLAS X 30; BAG
1562600210062; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.5 MG COM CT BL AL PLAS X 30; BAG
1562600210070; TRANQUINAL; TRANQUINAL; NOT FOUND; 1 MG COM CT BL AL PLAS X 30; BAG
1562600210089; TRANQUINAL; TRANQUINAL; NOT FOUND; 2 MG COM CT BL AL PLAS X 30; BAG
1562600200121; TRIFAMOX; TRIFAMOX; NOT FOUND; 500 MG + 250 MG PO INJ CT FA VD INC + DIL AMP VD INC X 5 ML; BAG
1562600200148; TRIFAMOX; TRIFAMOX; NOT FOUND; 1000 MG + 500 MG PO INJ CT FA VD INC + DIL AMP VD INC X 5 ML; BAG
1562600200131; TRIFAMOX; TRIFAMOX; NOT FOUND; 50 MG/ML + 50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G; BAG
1562600200059; TRIFAMOX; TRIFAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT CT FR PLAS OPC X 15 G; BAG
1562600200067; TRIFAMOX; TRIFAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G; BAG
1562600200113; TRIFAMOX; TRIFAMOX; NOT FOUND; 25 MG/ML + 25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G; BAG
1562600200032; TRIFAMOX; TRIFAMOX; NOT FOUND; 500 MG + 500 MG COM REV CT BL AL PVC X 8; BAG
1562600200024; TRIFAMOX; TRIFAMOX; NOT FOUND; 250 MG + 250 MG COM REV CT BL AL PVC X 16; BAG
1562600200016; TRIFAMOX; TRIFAMOX; NOT FOUND; 250 MG + 250 MG COM REV CT BL AL PVC X 8; BAG
1562600200091; TRIFAMOX; TRIFAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; BAG
1562600090016; TARGRETIN; TARGRETIN; NOT FOUND; 75 MG CAP GEL MOLE CT FR PLAS HDPE OPC X 100; BAG
1562600230012; TARGUS; TARGUS; NOT FOUND; 40 MG (0.3 MG/CM2) ADES TRANS CT 2 SACH X 5 ADES + 1 BAND; BAG
