1052500230066; BETACARD PLUS; BETACARD PLUS; NOT FOUND; 100 MG + 25 MG COM CT BL AL/AL X 30 ; TNT
1052500230022; BETACARD PLUS; BETACARD PLUS; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL/AL X 30 ; TNT
1052500320037; BRANTA; BRANTA; NOT FOUND; 50MG + 5MG COM REV CT BL AL/AL X 30; TNT
1052500320010; BRANTA; BRANTA; NOT FOUND; 50MG + 5MG COM REV CT BL AL/AL X 10; TNT
1052500500019; BRATOR H; BRATOR H; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 10; TNT
1052500500043; BRATOR H; BRATOR H; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 30; TNT
1052500500051; BRATOR H; BRATOR H; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL/AL X 10; TNT
1052500500086; BRATOR H; BRATOR H; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL/AL X 30; TNT
1052500500124; BRATOR H; BRATOR H; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL/AL X 30; TNT
1052500500167; BRATOR H; BRATOR H; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL/AL X 30; TNT
1052500500205; BRATOR H; BRATOR H; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL/AL X 30; TNT
