1052500140020; VENLIFT OD; VENLIFT OD; NOT FOUND; 150 MG CAP GEL DURA BL AL PVC X 14; TNT
1052500140012; VENLIFT OD; VENLIFT OD; NOT FOUND; 75 MG CAP GEL DURA BL AL PVC X 14; TNT
1052500140081; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 14; TNT
1052500140071; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 7; TNT
1052500140111; VENLIFT OD; VENLIFT OD; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL AL X 30; TNT
1052500140098; VENLIFT OD; VENLIFT OD; NOT FOUND; 75 MG CAP GEL DURA CT BL AL AL X 30; TNT
1052500140101; VENLIFT OD; VENLIFT OD; NOT FOUND; 150 MG CAP GEL DURA CT BL AL AL X 30; TNT
1052500530041; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 30; TNT
1052500530082; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 30; TNT
1052500530120; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 COM REV CT BL AL/AL X 30; TNT
1052500530163; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 12.5 COM REV CT BL AL/AL X 30; TNT
1052500530201; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 + 25 COM REV CT BL AL/AL X 30; TNT
1052500530023; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 14; TNT
1052500530031; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 + 12.5 COM REV CT BL AL/AL X 28; TNT
1052500530066; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 14; TNT
1052500530074; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 12.5 COM REV CT BL AL/AL X 28; TNT
1052500530112; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 + 25 COM REV CT BL AL/AL X 28; TNT
