1052500380048; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL/AL X 30; TNT
1052500380064; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT BL AL/AL X 30; TNT
1052500380080; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL/AL X 30; TNT
1052500380031; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL/AL X 15 ; TNT
1052500380056; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT BL AL/AL X 15 ; TNT
1052500380072; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL/AL X 15 ; TNT
1052500380099; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 300 (EMB HOSP); TNT
1052500380102; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 300 (EMB HOSP); TNT
1052500380110; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 300 (EMB HOSP); TNT
1052500110024; CLONOTRIL; CLONOTRIL; NOT FOUND; 0.5 MG COM CT BL AL/PVC X 20; TNT
1052500110032; CLONOTRIL; CLONOTRIL; NOT FOUND; 2 MG COM CT BL AL/PVC X 20; TNT
1052500420023; CLORIDRATODE DONEPEZILA; CLORIDRATODE DONEPEZILA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; TNT
1052500420058; CLORIDRATODE DONEPEZILA; CLORIDRATODE DONEPEZILA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; TNT
1052500420031; CLORIDRATODE DONEPEZILA; CLORIDRATODE DONEPEZILA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 60; TNT
1052500420066; CLORIDRATODE DONEPEZILA; CLORIDRATODE DONEPEZILA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; TNT
1052500340011; CLORIDRATO DE METFORMINA +GLIBENCAMIDA; CLORIDRATO METFORMINA GLIBENCAMIDA; NOT FOUND; 500 MG +2.5 MG COM REV CT BL AL/AL X 30 ; TNT
1052500340046; CLORIDRATO DE METFORMINA +GLIBENCAMIDA; CLORIDRATO METFORMINA GLIBENCAMIDA; NOT FOUND; 500MG + 5 MG COM REV CT BL AL/AL X 30 ; TNT
1052500540045; CLORIDRATO DE NEBIVOLOL; CLORIDRATO NEBIVOLOL; CLORIDRATO NEBIVOLOL; 5 MG COM CT BL AL/AL X 30; TNT
1052500510022; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT BL AL/AL X 30; TNT
1052500510065; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT BL AL/AL X 30; TNT
1052500510103; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT BL AL/AL X 30
; TNT
1052500510014; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT BL AL/AL X 15; TNT
1052500510057; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT BL AL/AL X 15; TNT
1052500510091; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT BL AL/AL X 15
; TNT
1052500510030; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT BL AL/AL X 60; TNT
1052500510073; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT BL AL/AL X 60; TNT
1052500510111; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT BL AL/AL X 60
; TNT
