79797, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, PZ8
86498, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 400, PZ8
75028, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 600 MG x 20, PZ8
89270, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 600 MG x 280, PZ8
75029, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 600 MG x 500, PZ8
84665, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), PZ8
74558, IODETO POTASIO , IODETO POTASIO, NOT FOUND, XAR. 2 % 100 ML x 1, PZ8
75710, IONCLOR , IONCLOR, NOT FOUND, XAR. 60 MG 100 ML x 1 (/ML), PZ8
75711, IONCLOR , IONCLOR, NOT FOUND, XAR. 60 MG 150 ML x 1 (/ML), PZ8
73893, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, PZ8
73894, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, PZ8
73895, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, PZ8
75129, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 400, PZ8
89285, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 80, PZ8
