76919, BENZIDROL , BENZIDROL, NOT FOUND, SPRAY MENTA 1.50 MG 30 ML x 1 (/ML), PZ8
74465, BENZOILMETRONID MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 40 MG 100 ML x 1 (/ML, PZ8
74466, BENZOILMETRONID MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 40 MG 120 ML x 1 (/ML, PZ8
107737, BENZOILMETRONID MG , BENZOILMETRONID, NOT FOUND, SUSP ORAL 40 MG 80 ML x 50 (/ML, PZ8
77189, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, PZ8
90259, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 400, PZ8
75271, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, PZ8
75272, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, PZ8
64617, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), PZ8
64618, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, GOTAS 0.50 MG 15 ML x 1 (/ML), PZ8
73235, BMETRO+NIS+BENZ MG , BMETRO NIS BENZ, NOT FOUND, CR.VAG.10APL 40 G x 1, PZ8
67447, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), PZ8
69448, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 200 (/ML), PZ8
64622, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1, PZ8
64623, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 200, PZ8
95439, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CPR 10 MG x 120, PZ8
73539, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CPR 10 MG x 20, PZ8
73873, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CPR 10 MG x 800, PZ8
64626, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 1 (/ML), PZ8
70585, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS 4 MG 20 ML x 200 (/ML), PZ8
64624, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 1 MG 120 ML x 1 (/ML), PZ8
63074, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, GOTAS 10 ML x 200, PZ8
63072, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, GOTAS 20 ML x 1, PZ8
66259, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 10 ML x 200 (/ML), PZ8
66260, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 1 (/ML), PZ8
66258, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 200 (/ML), PZ8
