78407, H AL+H MAG+SIM MG , H AL H MAG SIM, NOT FOUND, LIQD CEREJA 240 ML x 1, PZ8
94281, HALOPERIDOL MG , HALOPERIDOL, HALOPERIDOL, GOTAS 2 MG 20 ML x 200 (/ML), PZ8
104625, HALOPERIDOL MG , HALOPERIDOL, HALOPERIDOL, GOTAS 2 MG 30 ML x 1 (/ML), PZ8
69683, HEMATOFER , HEMATOFER, NOT FOUND, CPR REVEST 109 MG x 200, PZ8
63081, HEMATOFER , HEMATOFER, NOT FOUND, CPR REVEST 109 MG x 500, PZ8
74288, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, PZ8
74616, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 400, PZ8
74289, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 30, PZ8
74615, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 400, PZ8
63555, HIDROX.ALUMINIO MG , HIDROX ALUMINIO, NOT FOUND, SUSP 61.5 MG 100 ML x 50 (/ML), PZ8
63082, HIDROX.ALUMINIO MG , HIDROX ALUMINIO, NOT FOUND, SUSP 61.5 MG 240 ML x 1 (/ML), PZ8
