82225, LANS+CLARI+AMOX MG , LANS CLARI AMOX, NOT FOUND, KIT 7X8 X x 56, PZ8
82224, LANS+CLARI+AMOX MG , LANS CLARI AMOX, NOT FOUND, KIT 7X8 X x 56 +28, PZ8
78686, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 14, PZ8
165701, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 28, PZ8
75985, LIDOCAINA MG , LIDOCAINA, LIDOCAINA, POM.DERMAT 50 MG 25 G x 1 (/G), PZ8
80422, LISPELIN , LISPELIN, NOT FOUND, CAPS GEL 30 MG x 14, PZ8
64658, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 1 MG 100 ML x 1 (/ML), PZ8
64659, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 1 MG 100 ML x 50 (/ML), PZ8
83748, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 100, PZ8
75567, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, PZ8
83749, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 300, PZ8
83747, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 200, PZ8
76086, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, PZ8
76087, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 300, PZ8
