64841; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAR. 120 ML x 1; PZ8
75086; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; PZ8
75087; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; PZ8
75088; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; PZ8
67958; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; SOLN ORAL 2 MG 100 ML x 50 (/5; PZ8
64660; MALEAT.DEXCLORF.MG ; MALEAT DEXCLORF; MALEATO DEXCLORFENIRAMINA; SOLN ORAL 2 MG 120 ML x 1 (/5M; PZ8
63085; MEBENDA+TIABEND.MG ; MEBENDA TIABEND; NOT FOUND; CPR 200 MG x 6 (/332); PZ8
63556; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; CPR 100 MG x 300; PZ8
63148; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; CPR 100 MG x 6; PZ8
63557; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; SUSP 20 MG 30 ML x 1 (/ML); PZ8
74729; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 10; PZ8
89291; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 140; PZ8
74730; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 500; PZ8
74731; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; PZ8
74732; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 500; PZ8
74786; METRO+NISTATINA MG ; METRO NISTATINA; NOT FOUND; CR.VAG.10APL 50 G x 1; PZ8
63089; METRO+NISTATINA MG ; METRO NISTATINA; NOT FOUND; CREME VAG. 50 G x 1; PZ8
65700; METRO+NISTATINA MG ; METRO NISTATINA; NOT FOUND; CREME VAG. 50 G x 50; PZ8
73472; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; CPR 250 MG x 20; PZ8
73898; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; CPR 250 MG x 600; PZ8
102146; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL VAG 10AP 50 G x 1; PZ8
63087; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 500 MG 50 G x 1 (/5G); PZ8
63088; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 500 MG 50 G x 50 (/5G); PZ8
62147; MULTIGRAM ; MULTIGRAM; NOT FOUND; CAPS 500 MG x 25 X12; PZ8
71939; MUPIROCINA MG ; MUPIROCINA; MUPIROCINA; POM. 20 MG 15 G x 1 (/G); PZ8
