75294, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 1, PZ8
78406, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 100, PZ8
75296, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 2, PZ8
75295, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 20, PZ8
78145, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 200, PZ8
104624, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 90, PZ8
73889, FOS CLINDAMICIN MG , FOS CLINDAMICIN, FOSFATO CLINDAMICINA, CR.VAG.3 APL 20 MG 20 G x 1 (/G, PZ8
64654, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 1 MG 100 ML x 1 (/ML, PZ8
64655, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 1 MG 120 ML x 1 (/ML, PZ8
68532, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 3 MG 100 ML x 1 (/ML, PZ8
68534, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 3 MG 100 ML x 50 (/M, PZ8
68533, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 3 MG 120 ML x 1 (/ML, PZ8
68964, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 3 MG 60 ML x 1 (/ML), PZ8
69948, FOS.SOD.PREDNIS.MG , FOS SOD PREDNIS, NOT FOUND, SOLN ORAL 3 MG 60 ML x 50 (/ML), PZ8
98560, FUMARATO CETOTI.MG , FUMARATO CETOTI, FUMARATO CETOTIFENO, XAR. 0.20 MG 120 ML x 1 (/ML), PZ8
74954, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, CPR 40 MG x 20, PZ8
74955, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, CPR 40 MG x 500, PZ8
