67798, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME 1 MG 10 G x 1 (/G), PZ8
68818, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME 1 MG 10 G x 100 (/G), PZ8
71302, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, CREME 30 G x 1, PZ8
71303, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, POM. 30 G x 1, PZ8
71973, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), PZ8
72158, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 50 (/5ML), PZ8
71974, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. PED. 25 MG 120 ML x 1 (/5ML), PZ8
72159, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. PED. 25 MG 120 ML x 50 (/5ML), PZ8
70459, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 100 MG 5 G x 16, PZ8
70460, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 100 MG 5 G x 200, PZ8
73096, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 120 MG 5 G x 16, PZ8
85865, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 120 MG 5 G x 200, PZ8
69826, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 200 MG 5 G x 16, PZ8
69827, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 200 MG 5 G x 200, PZ8
64825, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), PZ8
64826, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 150 ML x 1 (/ML), PZ8
76065, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 40 MG 120 ML x 1 (/ML), PZ8
66915, ACETON.TRIANCIN.MG , ACETON TRIANCIN, NOT FOUND, POM.BUCAL 1 MG 10 G x 1 (/G), PZ8
73159, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, PZ8
79167, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 280, PZ8
73160, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 30, PZ8
73402, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 450, PZ8
65654, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), PZ8
68821, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 100 (/G), PZ8
137871, ACIDO FUSIDICO MG , ACIDO FUSIDICO, ACIDO FUSIDICO, CREME 20 MG 15 G x 1 (/G), PZ8
62330, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 400 MG x 1, PZ8
62331, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 400 MG x 100, PZ8
78229, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 400 MG x 80, PZ8
62332, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, SUSP 40 MG 10 ML x 1 (/ML), PZ8
62333, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, SUSP 40 MG 10 ML x 200 (/ML), PZ8
86491, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 100 MG x 120, PZ8
73866, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 100 MG x 30, PZ8
73868, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 100 MG x 600, PZ8
103447, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 100 MG x 80, PZ8
86495, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 300 MG x 120, PZ8
73867, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 300 MG x 30, PZ8
73869, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 300 MG x 500, PZ8
106841, ALOPURINOL MG , ALOPURINOL, ALOPURINOL, CPR 300 MG x 80, PZ8
75068, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, PZ8
