76947; RINAFEN ; RINAFEN; NOT FOUND; GOTAS 20 ML x 1; PZ8
76950; RINAFEN ; RINAFEN; NOT FOUND; GOTAS 20 ML x 100; PZ8
76948; RINAFEN ; RINAFEN; NOT FOUND; SOLN ORAL 100 ML x 1; PZ8
76949; RINAFEN ; RINAFEN; NOT FOUND; SOLN ORAL 100 ML x 50; PZ8
99015; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; SOLN ORAL 1 MG 30 ML x 1 (/ML); PZ8
62149; RUBROMICIN ; RUBROMICIN; NOT FOUND; CPR REVEST 250 MG x 300; PZ8
62151; RUBROMICIN ; RUBROMICIN; NOT FOUND; CPR REVEST 500 MG x 300; PZ8
78687; RUBROMICIN ; RUBROMICIN; NOT FOUND; CPR REVEST 500 MG x 480; PZ8
62152; RUBROMICIN ; RUBROMICIN; NOT FOUND; SUSP 125 MG 60 ML x 1 (/5ML); PZ8
62154; RUBROMICIN ; RUBROMICIN; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); PZ8
62155; RUBROMICIN ; RUBROMICIN; NOT FOUND; SUSP 250 MG 60 ML x 50 (/5ML); PZ8
