73151, D.SOD+ISOME+CAF.MG , D SOD ISOME CAF, NOT FOUND, GOTAS 15 ML x 1, PZ8
85416, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAR. 0.50 MG 60 ML x 1 (/ML), PZ8
71565, DESONIDA MG , DESONIDA, DESONIDA, CREME 0.50 MG 30 G x 1 (/G), PZ8
71313, DESONIDA MG , DESONIDA, DESONIDA, LOC. 0.50 MG 60 G x 1 (/G), PZ8
64641, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.50 MG 100 ML x 50 (/5ML), PZ8
64640, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), PZ8
64642, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.50 MG 120 ML x 50 (/5ML), PZ8
165700, DEXPROTENOL , DEXPROTENOL, NOT FOUND, POM DERM 30 G x 1, PZ8
66352, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 10 MG 60 G x 1 (/G), PZ8
69018, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 10 MG 60 G x 50 (/G), PZ8
75392, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, PZ8
79166, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 400, PZ8
75393, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 500, PZ8
63078, DICLOKALIUM , DICLOKALIUM, NOT FOUND, CPR REVEST 50 MG x 500, PZ8
63079, DICLONATRIUM , DICLONATRIUM, NOT FOUND, CPR REVEST 50 MG x 500, PZ8
64644, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, SOLN ORAL 1 MG 120 ML x 1 (/ML, PZ8
64643, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, SOLN ORAL 1 MG 80 ML x 1 (/ML), PZ8
65979, DIGOXINA MG , DIGOXINA, DIGOXINA, ELIXIR 0.05 MG 60 ML x 1 (/ML), PZ8
85541, DIP SOD+ADI+PRO MG , DIP SOD ADI PRO, NOT FOUND, GOTAS 15 ML x 1, PZ8
78539, DIP SOD+ADI+PRO MG , DIP SOD ADI PRO, NOT FOUND, GOTAS 20 ML x 1, PZ8
66262, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, POM. 30 G x 1, PZ8
65980, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, SOLN TOP. 30 ML x 1, PZ8
72331, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, CREME 30 G x 1, PZ8
72332, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, POM. 30 G x 1, PZ8
144302, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 1000 MG x 10, PZ8
62350, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 100, PZ8
70049, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 200, PZ8
79165, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 480, PZ8
62351, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 500, PZ8
62352, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), PZ8
62353, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), PZ8
73886, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML, PZ8
64646, DROPROPIZINA MG , DROPROPIZINA, DROPROPIZINA, XAR. 1.50 MG 120 ML x 1 (/ML), PZ8
64647, DROPROPIZINA MG , DROPROPIZINA, DROPROPIZINA, XAR. 3 MG 120 ML x 1 (/ML), PZ8
74715, DUXIDINA , DUXIDINA, NOT FOUND, SOLN TOP. 10 MG 30 ML x 1 (/ML), PZ8
74716, DUXIDINA , DUXIDINA, NOT FOUND, SPRAY 10 MG 45 ML x 1 (/ML), PZ8
62784, DUZIMICIN , DUZIMICIN, NOT FOUND, CAPS 500 MG x 12, PZ8
62785, DUZIMICIN , DUZIMICIN, NOT FOUND, CAPS 500 MG x 300, PZ8
62781, DUZIMICIN , DUZIMICIN, NOT FOUND, POLVO SUSP. 250 MG 150 ML x 1, PZ8
62783, DUZIMICIN , DUZIMICIN, NOT FOUND, POLVO SUSP. 250 MG 150 ML x 50, PZ8
62782, DUZIMICIN , DUZIMICIN, NOT FOUND, POLVO SUSP. 250 MG 60 ML x 50, PZ8
55949, DUZIMICIN , DUZIMICIN, NOT FOUND, SUSP 250 MG 60 ML x 1 (/5ML), PZ8
