525901502135417; MUCOLAB; MUCOLAB; NOT FOUND; 50 MG/ML XPE CT FR VD AMB 100 ML + COLHER DOSADORA; MB9
525901501139427; MUCOLAB; MUCOLAB; NOT FOUND; 50 MG/ ML XPE CT FR VD AMB 150 ML + COLHER DOSADORA; MB9
525902102130416; MULTISORO INFANTIL; MULTISORO INFANTIL; NOT FOUND; 9.0 MG + 0.1 MG SOL NASAL CT FR VD AMB X 30 ML + CGT; MB9
525901803135416; MULTIGRIP; MULTIGRIP; NOT FOUND; 40 MG + 0.60 MG + 0.60 SOL OR CT FR PLAS TRANS X 100 ML; MB9
525901805111417; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL PLAS X 100; MB9
525901801116414; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL PLAS X 20; MB9
525901806118415; MULTIGRIP; MULTIGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CX BL AL PLAS X 200; MB9
525901807114413; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG GRAN CX 50 ENV AL POLIET X 5G (LIMAO); MB9
525901808137417; MULTIGRIP; MULTIGRIP; NOT FOUND; 400MG + 4MG + 4MG GRAN ENV AL POLIET X 5G (LARANJA); MB9
525902101177419; MULTISORO ADULTO; MULTISORO ADULTO; NOT FOUND; 0.5 MG/ML SOL NAS CT FR VD AMB CGT X 30 ML; MB9
525901701162422; MULTIDERME; MULTIDERME; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 45G; MB9
525901702169412; MULTIDERME; MULTIDERME; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CX 154 BG AL X 45 G (EMB HOSP); MB9
525912080017006; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PET AMB X 120ML+ CP MED; MB9
525904801168117; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30G; MB9
525912080016906; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20ML ; MB9
525902201139411; MULTIZOL; MULTIZOL; NOT FOUND; 20  MG/ML SUS OR CT FR VD AMB X 30 ML ; MB9
525913040017806; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC; MB9
525903401131412; MICOSTALAB; MICOSTALAB; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD CGT X 50 ML; MB9
525912040014503; MICOSTALAB; MICOSTALAB; NOT FOUND; 25000 UI/G CREM VAG CT BG AL X 60G + 10 APLIC ; MB9
525905301118410; MICLOX; MICLOX; NOT FOUND; 100 MG COM REV CT BL AL PVC INC X 30; MB9
