1140200610024; NOVACTAM; NOVACTAM; NOT FOUND; 1.0 G + 0.5 G PO SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP) ; NVA
1140200590023; NAUMETRON; NAUMETRON; NOT FOUND; 5 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 2 ML (EMB HOSP); NVA
1140200290038; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ CX 20 FR AMP VD INC X 10 ML (EMB HOSP); NVA
1140200290054; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ CX 50 FR AMP VD INC X 10 ML (EMB HOSP); NVA
1140200290070; NOVAMICIN; NOVAMICIN; NOT FOUND; 1 G PO LIOF SOL INJ CT 01 FR AMP VD INC X 20 ML (EMB HOSP) ; NVA
1140200290161; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 50 FA VD INC + 50 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200290151; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 25 FA VD INC + 25 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200290143; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 20 FA VD INC + 20 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200640020; NOVANOR; NOVANOR; NOT FOUND; 2 MG/ML SOL INJ IV CX 50 AMP VD AMB X 4 ML (EMB HOSP) ; NVA
1140200520017; NOVATAZ; NOVATAZ; NOT FOUND; 4 G + 0.5 G PO LIOF SOL INJ CT FA VD INC X 20 ML (EMB HOSP); NVA
1140200520025; NOVATAZ; NOVATAZ; NOT FOUND; 4 G + 0.5 G PO LIOF SOL INJ CX 10 FA VD INC X 20 ML (EMB HOSP); NVA
