1140200390083; CRISTACILINA; CRISTACILINA; NOT FOUND; 10.000.000 UI PO SOL INJ CX 25 FA VD INC (EMB HOSP); NVA
1140200390067; CRISTACILINA; CRISTACILINA; NOT FOUND; 5.000.000 UI PO SOL INJ CX 50 FA VD INC (EMB HOSP); NVA
1140200390032; CRISTACILINA; CRISTACILINA; NOT FOUND; 1.000.000 UI PO SOL INJ CX 50 FA VD INC (EMB HOSP); NVA
1140200380010; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX 50 FA VD INC X 10 ML (EMB HOSP); NVA
1140200200063; CEFAZOLINA-KEFALIN; CEFAZOLINA KEFALIN; NOT FOUND; IM - 1G PO INJ. CX. 50 F/A S/DIL.; NVA
SI/NC; CEFAZOLINA-KEFALIN; CEFAZOLINA KEFALIN; NOT FOUND; 250MG PO INJ. CX. 50 F/A + DIL. X 2ML; NVA
1140200200047; CEFAZOLINA-KEFALIN; CEFAZOLINA KEFALIN; NOT FOUND; IM - 500MG PO INJ. CX. 50 F/A + DIL. X 2ML; NVA
1140200330021; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ CX 50 FA VD INC; NVA
1140200330099; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 50 FA VD INC + 50 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200330080; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 25 FA VD INC + 25 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200330072; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 20 FA VD INC + 20 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200060032; CEFOTAXIMA - CETAZIMA; CEFOTAXIMA CETAZIMA; NOT FOUND; 1G PO INJ CX 50 FR/AMP DILUENTE X 4ML; NVA
1140200050016; CEFOTAXIMA - CETAZIMA; CEFOTAXIMA CETAZIMA; NOT FOUND; 500MG PO INJ CX 50 FR/AMP DILUENTE X 2ML; NVA
1140200060067; CETAZIMA; CETAZIMA; NOT FOUND; 500 MG PO SOL INJ IM/IV CX 50 FA VD INC X 10ML; NVA
1140200060059; CETAZIMA; CETAZIMA; NOT FOUND; 1 G PO SOL INJ IM/IV CX 50 FA VD INC X 10ML (EMB HOSP); NVA
1140200250028; CEFOX; CEFOX; NOT FOUND; 1 G PO LIOF CT FA VD INC + AMP DIL X 10 ML; NVA
1140200360087; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CT FA VD INC + BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200360036; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML; NVA
1140200360060; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CX 20 FA VD INC + 20 DIL AMP PLAS INC X 10 ML (EMB HOSP); NVA
1140200070011; CEFTAFOR; CEFTAFOR; NOT FOUND; 1G PO INJ CX FR/AMP DILUENTE X 10ML; NVA
1140200070046; CEFTAFOR; CEFTAFOR; NOT FOUND; 1G PO INJ. CX. 50 F/A AMP. DIL. X 10ML; NVA
1140200070054; CEFTAFOR; CEFTAFOR; NOT FOUND; 1 G PO INJ + SOL DIL CX 50 FA VD INC (EMB HOSP); NVA
SI/NC; CEFTAFOR; CEFTAFOR; NOT FOUND; 2G PO INJ. CX. FA DIL X 10ML; NVA
1140200240103; CEFTRIONA; CEFTRIONA; NOT FOUND; 1G PO INJ CX 50 FR/AMP DILUENTE X 4ML; NVA
1140200240121; CEFTRIONA; CEFTRIONA; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC (EMB HOSP); NVA
1140200240170; CEFTRIONA; CEFTRIONA; NOT FOUND; 1 G PO LIOF INJ CT 50 FA VD INC (EMB HOSP); NVA
1140200220110; CEFALOSPIM; CEFALOSPIM; NOT FOUND; 1G PO INJ CX 01 FA VD INC; NVA
1140200220137; CEFALOSPIM; CEFALOSPIM; NOT FOUND; 2G PO INJ CX 01 FA VD INC; NVA
1140200220145; CEFALOSPIM; CEFALOSPIM; NOT FOUND; 2 G PO INJ CX 50 FA VD INC (EMB HOSP); NVA
1140200220129; CEFALOSPIM; CEFALOSPIM; NOT FOUND; 1 G PO INJ CX 50 FA VD INC (EMB HOSP); NVA
1140200370015; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT FA VD INC X 17 ML (EMB HOSP) ; NVA
1140200370031; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT FA VD INC X 17 ML (EMB HOSP)  ; NVA
1140200370023; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 10 FA VD INC X 17 ML (EMB HOSP) ; NVA
1140200370041; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 10 FA VD INC X 17 ML (EMB HOSP)  ; NVA
1140200370082; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO SOL INJ IV CX 10 FA VD TRANS + 10 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200370163; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2G PO SOL INJ IV CX 10 FA VD TRANS + 10 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
1140200500016; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ ML SOL INJ IV CT AMP VD INC X 20 ML (EMB HOSP); NVA
1140200500032; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ ML SOL INJ IV CX 50 AMP VD INC X 20 ML (EMB HOSP); NVA
1140200710061; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ IV CX 50 AMP VD INC X 3 ML (EMB HOSP); NVA
1140200770031; CLORIDRATO DE LIDOCAINA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 25 FA VD TRANS X 20 ML (EMB HOSP); NVA
1140200780019; CLORIDRATO DE NALOXONA; CLORIDRATO NALOXONA; CLORIDRATO NALOXONA; 0.4 MG/ML SOL INJ IM IV SC CX 10 AMP VD TRANS X 1 ML (EMB HOSP) ; NVA
1140200470044; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB. HOSP); NVA
1140200300025; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 50MG/2ML SOL INJ CX 50 AMP VD; NVA
1140200300051; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); NVA
1140200420020; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); NVA
1140200790049; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ IM IV CX 50 AMP VD TRANS X 1 ML (EMB HOSP); NVA
1140200790091; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ IM IV CX 50 AMP VD TRANS X 2 ML (EMB HOSP) ; NVA
1140200040031; CORTICOIDEX; CORTICOIDEX; NOT FOUND; 4MG SOL. INJ. CX 50 AMPOLAS; NVA
1140200400021; CORTICOIDEX; CORTICOIDEX; NOT FOUND; 4 MG / ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP); NVA
