1007300100038; SOL.RINGER C/LACTATO SÓDIO; SOL RINGER C LACTATO SODIO; NOT FOUND; 1000ML FR; TXX
1007300100011; SOL.RINGER C/LACTATO SÓDIO; SOL RINGER C LACTATO SODIO; NOT FOUND; 500ML FR; TXX
1007300090083; SOL. CLORETO SÓDIO; SOL CLORETO SODIO; NOT FOUND; 0.9% 1000ML FR; TXX
1007300090059; SOL. CLORETO SÓDIO; SOL CLORETO SODIO; NOT FOUND; 0.9% 125ML FR; TXX
1007300090067; SOL. CLORETO SÓDIO; SOL CLORETO SODIO; NOT FOUND; 0.9% 250ML FR; TXX
1007300090075; SOL. CLORETO SÓDIO; SOL CLORETO SODIO; NOT FOUND; 0.9% 500ML FR; TXX
1007300080101; SOLUÇÃO GLICOCLORETADA; SOLUCAO GLICOCLORETADA; NOT FOUND; (9.0 MG + 50.0 MG)/ML SOL INJ IV CX 42 BOLS PVC TRANS SIST FECH X 250 ML; TXX
1007300080118; SOLUÇÃO GLICOCLORETADA; SOLUCAO GLICOCLORETADA; NOT FOUND; (9.0 MG + 50.0 MG)/ML SOL INJ IV CX 30 BOLS PVC TRANS SIST FECH X 500 ML; TXX
1007300080126; SOLUÇÃO GLICOCLORETADA; SOLUCAO GLICOCLORETADA; NOT FOUND; (9.0 MG + 50.0 MG)/ML SOL INJ IV CX 16 BOLS PVC TRANS SIST FECH X 1000 ML; TXX
1007300070023; SOL.ENEMA GLICERINA; SOL ENEMA GLICERINA; NOT FOUND; 12% 250ML FR; TXX
1007300070015; SOL.ENEMA GLICERINA; SOL ENEMA GLICERINA; NOT FOUND; 12% 500ML FR; TXX
1007300030013; SOL.ENEMA GLICERINA; SOL ENEMA GLICERINA; NOT FOUND;  6% 1000ML FR; TXX
1007300030021; SOL.ENEMA GLICERINA; SOL ENEMA GLICERINA; NOT FOUND;  6% 500ML FR; TXX
1007300010012; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 1000ML FR; TXX
1007300010047; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 125ML FR; TXX
1007300010039; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 250ML FR; TXX
1007300010020; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 10% 500ML FR; TXX
1007300050030; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 1000ML FR; TXX
1007300050049; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 125ML FR; TXX
1007300050014; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 250ML FR; TXX
1007300050022; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 5% 500ML FR; TXX
1007300010098; SOLUÇÃO INJETÁVEL DE GLICOSE 10%; SOLUCAO INJETAVEL GLICOSE 10; NOT FOUND; 0.10 G/ML SOL INJ IV CX 72 BOLS PVC SIST FECH X 100 ML; TXX
1007300010101; SOLUÇÃO INJETÁVEL DE GLICOSE 10%; SOLUCAO INJETAVEL GLICOSE 10; NOT FOUND; 0.10 G/ML SOL INJ IV CX 42 BOLS PVC SIST FECH X 250 ML; TXX
1007300010111; SOLUÇÃO INJETÁVEL DE GLICOSE 10%; SOLUCAO INJETAVEL GLICOSE 10; NOT FOUND; 0.10 G/ML SOL INJ IV CX 30 BOLS PVC SIST FECH X 500 ML; TXX
1007300010128; SOLUÇÃO INJETÁVEL DE GLICOSE 10%; SOLUCAO INJETAVEL GLICOSE 10; NOT FOUND; 0.10 G/ML SOL INJ IV CX 16 BOLS PVC SIST FECH X 1000 ML; TXX
1007300050170; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 72 BOLS PVC SIST FECH X 100 ML; TXX
1007300050189; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 42 BOLS PVC SIST FECH X 250 ML; TXX
1007300050197; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 30 BOLS PVC SIST FECH X 500 ML; TXX
1007300050200; SOLUÇÃO DE GLICOSE; SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 16 BOLS PVC SIST FECH X 1000 ML; TXX
1007300060028; SOLUÇÃO MANITOL; SOLUCAO MANITOL; NOT FOUND; FR; TXX
1007300120039; SOLUÇÃO INJETÁVEL MANITOL 20%; SOLUCAO INJETAVEL MANITOL 20; NOT FOUND; 0.2 G/ML SOL INJ IV CX 42 BOLS PVC SIST FECH X 250 ML; TXX
