70221, VARICOSS , VARICOSS, NOT FOUND, DRAG x 20, CF2
70222, VARICOSS , VARICOSS, NOT FOUND, DRAG x 60, CF2
62261, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 10 MG x 30, CF2
62262, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 20 MG x 30, CF2
62263, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 40 MG x 10, CF2
76742, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 40 MG x 30, CF2
62264, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 80 MG x 10, CF2
76918, VASTATIL , VASTATIL, NOT FOUND, CPR REVEST 80 MG x 30, CF2
60220, VERMECTIL , VERMECTIL, NOT FOUND, CPR 6 MG x 2, CF2
60221, VERMECTIL , VERMECTIL, NOT FOUND, CPR 6 MG x 4, CF2
58339, VERMIBEN , VERMIBEN, NOT FOUND, CPR x 6, CF2
58340, VERMIBEN , VERMIBEN, NOT FOUND, SUSP ORAL 2 % 30 ML x 1, CF2
69721, VERMICLASE , VERMICLASE, NOT FOUND, CPR 400 MG x 1, CF2
58341, VERMICLASE , VERMICLASE, NOT FOUND, CPR x 2, CF2
55356, VERMICLASE , VERMICLASE, NOT FOUND, SUSP 400 MG 10 ML x 1, CF2
59744, VITERGYL C , VITERGYL C, NOT FOUND, CPR EFER 1 G x 10, CF2
92065, VITERGYL C , VITERGYL C, NOT FOUND, CPR EFERV 1 G x 30, CF2
59743, VITERGYL C , VITERGYL C, NOT FOUND, CPR 500 MG x 20, CF2
59746, VITERGYL C , VITERGYL C, NOT FOUND, GOTAS 20 ML x 1, CF2
62139, VITERGYL C , VITERGYL C, NOT FOUND, ROSE HIPS 1 G x 10, CF2
59745, VITERGYL C EFERVES , VITERGYL C EFERVES, NOT FOUND, CPR EFER 2 G x 10, CF2
62140, VITERGYL C EFERVES , VITERGYL C EFERVES, NOT FOUND, ROSE HIPS 2 G x 10, CF2
