77552; DERMARA ; DERMARA; NOT FOUND; LIQD 100 ML x 1; CF2
77377; DERMARA ; DERMARA; NOT FOUND; LIQD 200 ML x 1; CF2
58841; DERMODEN ; DERMODEN; NOT FOUND; POM. 45 G x 1; CF2
60590; DEXADEN ; DEXADEN; NOT FOUND; CPR 0.50 MG x 20; CF2
55992; DEXADEN ; DEXADEN; NOT FOUND; CREME 0.10 % 10 G x 1; CF2
63633; DEXADEN ; DEXADEN; NOT FOUND; ELIXIR 0.50 MG 100 ML x 1 (/5ML); CF2
59470; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 15 (/.25); CF2
158999; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 20 (/.25); CF2
59471; DEXTAMINE ; DEXTAMINE; NOT FOUND; XAR. 120 ML x 1; CF2
61500; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 1 MG x 30; CF2
61501; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 2 MG x 30; CF2
61502; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 4 MG x 30; CF2
58224; DIFEBRIL ; DIFEBRIL; NOT FOUND; CPR 500 MG x 100; CF2
58225; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 10 ML x 1; CF2
58226; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 20 ML x 1; CF2
75747; DIMETICONA MG ; DIMETICONA; DIMETICONA; CPR 40 MG x 20; CF2
59473; DIPROCORT ; DIPROCORT; NOT FOUND; A.IM 1 ML x 1; CF2
3444; DISPEPTRIN ; DISPEPTRIN; NOT FOUND; CPR 400 MG x 20 (/80); CF2
59477; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 144; CF2
72339; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 240; CF2
58232; DORILESS ; DORILESS; NOT FOUND; CPR x 12; CF2
58233; DORILESS ; DORILESS; NOT FOUND; CPR x 200; CF2
58234; DORILESS ; DORILESS; NOT FOUND; SOLN ORAL 15 ML x 1; CF2
101270; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR 3 MG x 21 (/.03); CF2
