58308, PANTEC , PANTEC, NOT FOUND, CAPS 150 MG x 1, CF2
74922, PANTEC , PANTEC, NOT FOUND, CAPS 150 MG x 2, CF2
59515, PANTRAT , PANTRAT, NOT FOUND, CPR GASTROR 40 MG x 14, CF2
59514, PANTRAT , PANTRAT, NOT FOUND, CPR GASTROR 40 MG x 7, CF2
100194, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, CF2
46712, PEDIDERM , PEDIDERM, NOT FOUND, XAMP 0.02 % 100 ML x 1, CF2
46711, PEDIDERM LOC , PEDIDERM LOC, NOT FOUND, LOC. 0.02 % 100 ML x 1, CF2
58881, PEN-V-CILIN , PEN V CILIN, NOT FOUND, CPR 500 K x 12, CF2
59516, PEN-V-CILIN , PEN V CILIN, NOT FOUND, PO P/SUSP 400 K 60 ML x 1 (/5ML), CF2
58312, PIROXIN , PIROXIN, NOT FOUND, CAPS 20 MG x 15, CF2
73526, POLARATUSS , POLARATUSS, NOT FOUND, LIQD EXPT 120 ML x 1, CF2
59517, POLAREN , POLAREN, NOT FOUND, CPR 2 MG x 20, CF2
59518, POLAREN , POLAREN, NOT FOUND, XPE TUT/FRUT 2 MG 100 ML x 1 (/5ML), CF2
61584, POSLOV , POSLOV, NOT FOUND, CPR 0.75 MG x 2, CF2
77179, PREGNOLAN , PREGNOLAN, NOT FOUND, A.IM 150 MG 1 ML x 1, CF2
58299, PREXSULID , PREXSULID, NOT FOUND, CPR 100 MG x 12, CF2
58300, PREXSULID , PREXSULID, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), CF2
154079, PROBENTOL BABY , PROBENTOL BABY, NOT FOUND, CREME 30 G x 1, CF2
111951, PROBENTOL DERMA , PROBENTOL DERMA, NOT FOUND, CREME 20 G x 1, CF2
113628, PROBENTOL DERMA , PROBENTOL DERMA, NOT FOUND, LOCAO TOP 50 ML x 1, CF2
142649, PROBENTOL DERMA , PROBENTOL DERMA, NOT FOUND, SPRAY HAIR 50 ML x 1, CF2
112493, PROMAN , PROMAN, NOT FOUND, FL F15 R L 60 G x 1, CF2
112494, PROMAN , PROMAN, NOT FOUND, SA LIQ I MAS 150 ML x 1, CF2
66631, PRONENEN , PRONENEN, NOT FOUND, POM. 45 G x 1, CF2
58320, PYVERM , PYVERM, NOT FOUND, CPR 100 MG x 6, CF2
58321, PYVERM , PYVERM, NOT FOUND, SUSP ORAL 40 ML x 1, CF2
