1097400870035; XANTUR; XANTUR; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 15; BS2
1097400870043; XANTUR; XANTUR; NOT FOUND; 300 MG COM CT 2 BL AL PLAS INC X 15; BS2
1097400870019; XANTUR; XANTUR; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 15; BS2
1097402160019; XEFO; XEFO; NOT FOUND; 4 MG COM REV CT BL AL/AL X 4; BS2
1097402160027; XEFO; XEFO; NOT FOUND; 4 MG COM REV CT BL AL/AL X 10; BS2
1097402160035; XEFO; XEFO; NOT FOUND; 4 MG COM REV CT BL AL/AL X 20; BS2
1097402160043; XEFO; XEFO; NOT FOUND; 4 MG COM REV CT BL AL/AL X 30; BS2
1097402160078; XEFO; XEFO; NOT FOUND; 8 MG COM REV CT BL AL/AL X 20; BS2
1097402160086; XEFO; XEFO; NOT FOUND; 8 MG COM REV CT BL AL/AL X 30; BS2
1097402160051; XEFO; XEFO; NOT FOUND; 8 MG COM REV CT BL AL/AL X 4; BS2
1097402160061; XEFO; XEFO; NOT FOUND; 8 MG COM REV CT BL AL/AL X 10; BS2
