1097401590011; MEDROGEST; MEDROGEST; NOT FOUND; 50 MG/ML SUS INJ CT FA VD INC X 1 ML; BS2
1097401590079; MEDROGEST; MEDROGEST; NOT FOUND; 50 MG/ML SUS INJ CT AMP VD INC X 1 ML; BS2
1097401590028; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 1 ML; BS2
1097401590052; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT SER PREENCH X 1 ML; BS2
1097401590060; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 3.3 ML; BS2
1097401590087; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT AMP VD INC X 1 ML; BS2
1097401590095; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT 25 AMP VD INC X 1 ML (EMB HOSP); BS2
1097401590044; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DESC; BS2
1097401590036; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT 25 FA VD INC X 1 ML (EMB HOSP); BS2
1097401590109; MEDROGEST; MEDROGEST; NOT FOUND; 150 MG/ML SUS INJ CT AMP VD INC X 3.3 ML; BS2
1097401070075; MIODON; MIODON; NOT FOUND; 50 MG/ML SOL INJ  CT 50 AMP VD AMB X 3 ML; BS2
1097401070024; MIODON; MIODON; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; BS2
1097401070040; MIODON; MIODON; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 30; BS2
1097400640031; MINIGIN; MINIGIN; NOT FOUND; 0.15 +0.03 MG COM CT 10 EST CAL X 21; BS2
1097400640021; MINIGIN; MINIGIN; NOT FOUND; 0.15 + 0.03 MG COM CT 3 EST CAL X 21; BS2
1097400640048; MINIGIN; MINIGIN; NOT FOUND; 0.15 + 0.03 MG COM CT 50 EST CAL X 21; BS2
1097400640013; MINIGIN; MINIGIN; NOT FOUND; 0.15 + 0.03 MG COM CT EST CAL X 21; BS2
1097400220057; MYCEL GYNO; MYCEL GYNO; NOT FOUND; CREM VAG CT BG 40G + APL; BS2
1097400070047; MAX PAX; MAX PAX; NOT FOUND; COM 1 MG CX CT BL X 20 COM; BS2
1097400070039; MAX PAX; MAX PAX; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; BS2
