1097400820021; BONALEN; BONALEN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 15; BS2
1097400820011; BONALEN; BONALEN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; BS2
1097400820100; BONALEN; BONALEN; NOT FOUND; 70 MG COM REV CT BL AL PLAS AMB X 4; BS2
1160700040035; BENZITRAT; BENZITRAT; NOT FOUND; SOL OR CT FR PLAS OPC X 20 ML - 30 MG/ML GOTAS; BS2
1160700040019; BENZITRAT; BENZITRAT; NOT FOUND; COLUT CT FR PLAS TRANS X 150 ML - COLUTORIO; BS2
1160700030048; BENZITRAT; BENZITRAT; NOT FOUND; COLUT CT FR VD INC SPY X 30 ML - COLUTORIO; BS2
1348900040016; BENZITRAT; BENZITRAT; NOT FOUND; COMP REV CT FR VD AMB X 30 50 MG; BS2
1097400180063; BENAPEN; BENAPEN; NOT FOUND; 300.000 UI + 100.000 UI PO INJ CX 100 FA VD INC +; BS2
1097401770050; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097401770069; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP); BS2
1097401770042; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 2 BL AL PLAS INC X 10; BS2
1097401770034; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT 10 BL AL PLAS INC X 10 (EMB HOSP); BS2
1097401770018; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT 2 BL AL PLAST INC X 10; BS2
1097401770026; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097402120041; BRAMLO; BRAMLO; NOT FOUND; 80MG + 5MG COM REV CT BL AL/AL X 98(EMB HOSP); BS2
1097402120092; BRAMLO; BRAMLO; NOT FOUND; 160MG + 10MG COM REV CT BL AL/AL X 14; BS2
1097402120106; BRAMLO; BRAMLO; NOT FOUND; 160MG + 10MG COM REV CT BL AL/AL X 28; BS2
1097402120114; BRAMLO; BRAMLO; NOT FOUND; 160MG + 10MG COM REV CT BL AL/AL X 56; BS2
1097402120122; BRAMLO; BRAMLO; NOT FOUND; 160MG + 10MG COM REV CT BL AL/AL X 98(EMB HOSP); BS2
1097402120051; BRAMLO; BRAMLO; NOT FOUND; 160MG + 5MG COM REV CT BL AL/AL X 14; BS2
1097402120068; BRAMLO; BRAMLO; NOT FOUND; 160MG + 5MG COM REV CT BL AL/AL X 28; BS2
1097402120076; BRAMLO; BRAMLO; NOT FOUND; 160MG + 5MG COM REV CT BL AL/AL X 56; BS2
1097402120084; BRAMLO; BRAMLO; NOT FOUND; 160MG + 5MG COM REV CT BL AL/AL X 98(EMB HOSP); BS2
1097402120173; BRAMLO; BRAMLO; NOT FOUND; 320MG + 10MG COM REV CT BL AL/AL X 14; BS2
1097402120181; BRAMLO; BRAMLO; NOT FOUND; 320MG + 10MG COM REV CT BL AL/AL X 28; BS2
1097402120191; BRAMLO; BRAMLO; NOT FOUND; 320MG + 10MG COM REV CT BL AL/AL X 56; BS2
1097402120203; BRAMLO; BRAMLO; NOT FOUND; 320MG + 10MG COM REV CT BL AL/AL X 98(EMB HOSP); BS2
1097402120130; BRAMLO; BRAMLO; NOT FOUND; 320MG + 5MG COM REV CT BL AL/AL X 14; BS2
1097402120157; BRAMLO; BRAMLO; NOT FOUND; 320MG + 5MG COM REV CT BL AL/AL X 56; BS2
1097402120165; BRAMLO; BRAMLO; NOT FOUND; 320MG + 5MG COM REV CT BL AL/AL X 98(EMB HOSP); BS2
1097402120017; BRAMLO; BRAMLO; NOT FOUND; 80MG + 5MG COM REV CT BL AL/AL X 14; BS2
1097402120025; BRAMLO; BRAMLO; NOT FOUND; 80MG + 5MG COM REV CT BL AL/AL X 28; BS2
1097402120033; BRAMLO; BRAMLO; NOT FOUND; 80MG + 5MG COM REV CT BL AL/AL X 56; BS2
1097402120149; BRAMLO; BRAMLO; NOT FOUND; 320MG + 5MG COM REV CT BL AL/AL X 28; BS2
1097400940017; BIOGLIC; BIOGLIC; NOT FOUND; 1 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097400940025; BIOGLIC; BIOGLIC; NOT FOUND; 2 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097400940033; BIOGLIC; BIOGLIC; NOT FOUND; 4 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097402140018; BRAV HCT; BRAV HCT; NOT FOUND; 80 MG + 12.5 COM REV CT BL AL/AL X 14; BS2
1097402140034; BRAV HCT; BRAV HCT; NOT FOUND; 160 MG + 12.5 COM REV CT BL AL/AL X 14; BS2
1097402140042; BRAV HCT; BRAV HCT; NOT FOUND; 160 MG + 12.5 COM REV CT BL AL/AL X 28; BS2
1097402140050; BRAV HCT; BRAV HCT; NOT FOUND; 160 MG + 25 COM REV CT BL AL/AL X 14; BS2
1097402140069; BRAV HCT; BRAV HCT; NOT FOUND; 160 MG + 25 COM REV CT BL AL/AL X 28; BS2
1097402140026; BRAV HCT; BRAV HCT; NOT FOUND; 80 MG + 12.5 COM REV CT BL AL/AL X 28; BS2
