1097401240027; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 3 BL AL PLAS INC X 10; BS2
1097401240019; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 2 BL AL PLAS INC X 10; BS2
1097401240035; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 5 BL AL PLAS INC X 10; BS2
1097401240043; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 10 BL AL PLAS INC X 10; BS2
1097401240051; FLAVENOS; FLAVENOS; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; BS2
1097401240061; FLAVENOS; FLAVENOS; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 90; BS2
1097401390207; FEMODIOL; FEMODIOL; NOT FOUND; 0.01 PCC CREM VAG CT BG AL X 50 G + APLIC GRAD; BS2
1097401390193; FEMODIOL; FEMODIOL; NOT FOUND; 0.01 PCC CREM VAG CT BG AL X 30 G + APLIC GRAD; BS2
1097401390223; FEMODIOL; FEMODIOL; NOT FOUND; 0.75 MG/1.25 G GEL CT 30 ENV AL POLIET X 1.25 G; BS2
1097401390215; FEMODIOL; FEMODIOL; NOT FOUND; 0.75 MG/ 1.25 G GEL CT FR PLAS OPC DOS X 80 G; BS2
1097401390231; FEMODIOL; FEMODIOL; NOT FOUND; 0.75 MG/ 1.25 G GEL CT 60 ENV POLIET X 1.25 G; BS2
1097401390101; FEMODIOL; FEMODIOL; NOT FOUND; 1 MG COM CT FR PLAS OPC X 30; BS2
1097401390134; FEMODIOL; FEMODIOL; NOT FOUND; 2 MG COM CT 3 STR X 10; BS2
1097401390071; FEMODIOL; FEMODIOL; NOT FOUND; 1 MG COM CT STR X 30 ; BS2
1097401390169; FEMODIOL; FEMODIOL; NOT FOUND; 2 MG COM CT FR PLAS OPC X 30; BS2
2081000100014; FLUOTRAT; FLUOTRAT; NOT FOUND; 0.5 GRAMA SOL CT FR VD INC X 240 M; BS2
2081000100016; FLUOTRAT; FLUOTRAT; NOT FOUND; 2.5MG GEL CT BG AL X 50 GRAMA; BS2
1097401870020; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT 2 BL AL PLAS INC X 15 ; BS2
1097401870071; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS TRANS X 60; BS2
1097401870081; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS TRANS X 90; BS2
