1097400270283; LONGACILIN; LONGACILIN; NOT FOUND; 1200000 UI PO P/SUS INJ CX 50 FA VD INC + 50 DIL X 3ML; BS2
1097400270267; LONGACILIN; LONGACILIN; NOT FOUND; 600000 UI PO P/SUS INJ CX 50 FA VD INC + 50 DIL X; BS2
1097400580029; LEVOCARB; LEVOCARB; NOT FOUND; 250 MG + 25 MG COM CT 3 ENV AL POLIET X 10; BS2
1097400960026; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
1097400960042; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; BS2
1097400960050; LIPLESS; LIPLESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 90; BS2
1097400860013; LOVELLE; LOVELLE; NOT FOUND; 0.25MG + 0.05MG COM REV CT BL AL PLAS INC X 21 ; BS2
1097401150011; LEVEL; LEVEL; NOT FOUND; 100 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21; BS2
1097401150028; LEVEL; LEVEL; NOT FOUND; 100 MCG + 20 MCG COM REV CT BL AL PLAS INC X 63; BS2
1097401880034; LAMOTRIX; LAMOTRIX; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
1097401880026; LAMOTRIX; LAMOTRIX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; BS2
1097401880018; LAMOTRIX; LAMOTRIX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BS2
1097401200149; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200157; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200130; LEVOTROID; LEVOTROID; NOT FOUND; 100 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200025; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200033; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200017; LEVOTROID; LEVOTROID; NOT FOUND; 12.5 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200173; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200181; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200165; LEVOTROID; LEVOTROID; NOT FOUND; 125 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200203; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200211; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200191; LEVOTROID; LEVOTROID; NOT FOUND; 150 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200238; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200246; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200221; LEVOTROID; LEVOTROID; NOT FOUND; 175 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200262; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200270; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200254; LEVOTROID; LEVOTROID; NOT FOUND; 200 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200051; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200068; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200041; LEVOTROID; LEVOTROID; NOT FOUND; 25 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200297; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200300; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG 100 COM BL AL PLAS AMB; BS2
1097401200289; LEVOTROID; LEVOTROID; NOT FOUND; 300 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200084; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200092; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200076; LEVOTROID; LEVOTROID; NOT FOUND; 50 MCG COM CT BL AL PLAS AMB X 20; BS2
1097401200114; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT 2 BL AL PLAS AMB X 15; BS2
1097401200122; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT 5 BL AL PLAS AMB X 20; BS2
1097401200106; LEVOTROID; LEVOTROID; NOT FOUND; 75 MCG COM CT BL AL PLAS AMB X 20; BS2
