1097401320020; CONTRACTUBEX; CONTRACTUBEX; NOT FOUND; GEL CT BG AL REV X 20 G; BS2
1097401320039; CONTRACTUBEX; CONTRACTUBEX; NOT FOUND; GEL CT BG AL REV X 50 G; BS2
1097400620039; CRISTALPEN; CRISTALPEN; NOT FOUND; 5.000.000 UI/FA PO INJ CX 50 FA VD INC (USO HOSP.); BS2
1097400120087; CINETIC; CINETIC; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML + COPO DOSADOR; BS2
1097400120011; CINETIC; CINETIC; NOT FOUND; 4 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 10 ML; BS2
1097400120044; CINETIC; CINETIC; NOT FOUND; 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 10 ML  ; BS2
1097400120036; CINETIC; CINETIC; NOT FOUND; 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 15 ML  ; BS2
1097400120028; CINETIC; CINETIC; NOT FOUND; 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 20 ML  ; BS2
1097400120079; CINETIC; CINETIC; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 100; BS2
1097400120052; CINETIC; CINETIC; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10 ; BS2
1097400120060; CINETIC; CINETIC; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; BS2
1097401740054; CLAUDIC; CLAUDIC; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 15; BS2
1097401740021; CLAUDIC; CLAUDIC; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 15; BS2
1097401740062; CLAUDIC; CLAUDIC; NOT FOUND; 100 MG COM CT 4 BL AL PLAS INC X 15; BS2
1097401740038; CLAUDIC; CLAUDIC; NOT FOUND; 50 MG COM CT 4 BL AL PLAS INC X 15; BS2
1097400850034; CORTOID; CORTOID; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 20; BS2
1097400850018; CORTOID; CORTOID; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; BS2
1097400080012; CRONOBE; CRONOBE; NOT FOUND; 2000 MCG/ML SOL INJ CT 2 AMP VD AMB X 2.5 ML; BS2
1097401890099; COLONAC; COLONAC; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML; BS2
1097400910096; CORONAR; CORONAR; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 01 ML; BS2
1097400910010; CORONAR; CORONAR; NOT FOUND; COM CT 2 BL AL PLAS INC X 10 20 MG/ML; BS2
1097400910029; CORONAR; CORONAR; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; BS2
1097400910037; CORONAR; CORONAR; NOT FOUND; COM CT 2 BL PLAS INC X 10 40 MG/ML; BS2
1097400910045; CORONAR; CORONAR; NOT FOUND; COM CT 3 BL PLAS INC X 10 40 MG/ML; BS2
