1097401510016; TEOMUC; TEOMUC; NOT FOUND; 25 MG/5 ML XPE PED CT FR VD AMB X 120 ML + CP MED; BS2
1097401280010; TESS; TESS; NOT FOUND; 2.0 MG + 0.035 MG DRG CT BL AL PLAS ( EST CALEND)  X 21; BS2
1160700035007; TOLOXIN; TOLOXIN; NOT FOUND; SOL OR CT FR VD AMB X 10 ML; BS2
1097401420017; TANTIN; TANTIN; NOT FOUND; 0.060 MG + 0.015 MG COM REV CT BL AL PLAS INC X 28 (24+4); BS2
1097401420025; TANTIN; TANTIN; NOT FOUND; 0.060 MG + 0.015 MG COM REV CT 3 BL AL PLAS INC X 28 (24+4); BS2
1097401660026; TRANDOR; TRANDOR; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 10; BS2
1097401660034; TRANDOR; TRANDOR; NOT FOUND; 200 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; BS2
1097401660042; TRANDOR; TRANDOR; NOT FOUND; 200 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; BS2
1097401660018; TRANDOR; TRANDOR; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 4; BS2
1097400560011; TRIAZOL; TRIAZOL; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 8; BS2
1097400560034; TRIAZOL; TRIAZOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 8; BS2
1097400560085; TRIAZOL; TRIAZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; BS2
1097400560095; TRIAZOL; TRIAZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; BS2
1097400560050; TRIAZOL; TRIAZOL; NOT FOUND; 200 MG CAP GEL DURA CT 2 BL AL PLAS INC X 8; BS2
1097400560042; TRIAZOL; TRIAZOL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 8; BS2
1097400560125; TRIAZOL; TRIAZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 4; BS2
