1097401860068; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 2.5 ML; BS2
1097401860076; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 5 ML ; BS2
1097401860017; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG COM CT FR PLAS OPC X 14 ; BS2
1097401860025; DESMURIN; DESMURIN; NOT FOUND; 0.1 MG COM CT FR PLAS OPC X 30 ; BS2
1097401860033; DESMURIN; DESMURIN; NOT FOUND; 0.2 MG COM CT FR PLAS OPC X 14 ; BS2
1097401860041; DESMURIN; DESMURIN; NOT FOUND; 0.2 MG COM CT FR PLAS OPC X 30; BS2
1097401080011; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG /ML+ 5 MG/ML SUS INJ CT AMP VD AMB  X 1 ML; BS2
1097401080046; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 1 SER HYPAK X 1 ML; BS2
1097401080021; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 3 AMP VD AMB X 1 ML; BS2
1097401080054; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 3 SER HYPAK X 1 ML; BS2
1097401080038; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG /ML+ 5 MG/ML SUS INJ CT 50 AMP X 1 ML; BS2
1097401080062; DEPOMÊS; DEPOMES; NOT FOUND; 25 MG/ML + 5 MG/ML SUS INJ CT 50  SER HYPAK X 1 ML; BS2
1097401480028; DRENIFORMIO; DRENIFORMIO; NOT FOUND; 0.125 MG + 30 MG/G CREM DERM CT BG AL X 30 G; BS2
1097402230017; DOSS; DOSS; NOT FOUND; 1000 UI CAP MOLE CT BL AL PLAS INC X 30; BS2
1097402230025; DOSS; DOSS; NOT FOUND; 1000 UI CAP MOLE CT BL AL PLAS INC X 60; BS2
1097400830033; DEXA-CRONOBE; DEXA CRONOBE; NOT FOUND; SOL INJ CT 3 AMP VD AMB X 2 ML + 3 AMP VD INC X 1 ML; BS2
1097402000046; DTN-FOL; DTN FOL; NOT FOUND; 400 MCG + 10 MG CAP GEL MOLE CT FR PLAS X 90; BS2
1348900110049; DILTIACOR; DILTIACOR; NOT FOUND; COM DES LENT CT BL AL PLAS INC X 50; BS2
1097401950024; DRENISON; DRENISON; NOT FOUND; 0.5 MG/ML LOC CT FR PLAS OPC GOT X 30 ML; BS2
1097401490112; DRENISON; DRENISON; NOT FOUND; 4 MCG CM2 CUR CT RL 60 CM X 7.5; BS2
1097401490074; DRENISON; DRENISON; NOT FOUND; 0.125 MG/G POM DERM CT BG AL X 30 G; BS2
1097401490023; DRENISON; DRENISON; NOT FOUND; 0.125 MG/G CREM DERM CT BG AL X 30 G; BS2
1097401490120; DRENISON; DRENISON; NOT FOUND; 4 MCG CM2 CUR CT RL 200 CM X 7.5; BS2
1097401470057; DRENISON N; DRENISON N; NOT FOUND; 0.125 MG + 3.5 MG/G POM DERM CT BG AL X 30 G; BS2
1097401470022; DRENISON N; DRENISON N; NOT FOUND; N - CREM DERM CT BG AL X 30 G; BS2
1097400990022; DEFLOGEN; DEFLOGEN; NOT FOUND; 100MG COM CT BL AL PLAS INC X 12; BS2
