1097401760012; SUPRELLE; SUPRELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT BL AL PLAS INC X 28 ; BS2
1097401760020; SUPRELLE; SUPRELLE; NOT FOUND; 1 MG + 0.5 MG COM REV CT 3 BL AL PLAS INC X 28 ; BS2
1097401360091; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 100; BS2
1097401360073; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; BS2
1097401360081; SPIROCTAN; SPIROCTAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; BS2
1097401360014; SPIROCTAN; SPIROCTAN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; BS2
1097401360022; SPIROCTAN; SPIROCTAN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BS2
1097401170010; SUPREMA; SUPREMA; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS INC CALEND X 28; BS2
1097400700067; SONOLAM; SONOLAM; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML HOSPITALAR; BS2
1097400700040; SONOLAM; SONOLAM; NOT FOUND; 1 MG/ML SOL INJ CT 100 AMP VD INC X 5 ML (EMB HOSP); BS2
1097400700032; SONOLAM; SONOLAM; NOT FOUND; 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; BS2
1097400700059; SONOLAM; SONOLAM; NOT FOUND; 1MG/ML SOL INJ CX 5 AMP VD INC X 10 ML; BS2
1097400700083; SONOLAM; SONOLAM; NOT FOUND; 5 MG/ML SOL INJ CT 100 AMP VD INC X 3 ML (EMB HOSP); BS2
1097400700075; SONOLAM; SONOLAM; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; BS2
1097400700024; SONOLAM; SONOLAM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 100 ( EMB. HOSP.); BS2
1097400700016; SONOLAM; SONOLAM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 20; BS2
