1011806080028; PANKREOFLAT; PANKREOFLAT; NOT FOUND; 170 MG + 80 MG DRG CT BL AL PLAS INC X 20; APS
1011806080036; PANKREOFLAT; PANKREOFLAT; NOT FOUND; 170 MG + 80 MG DRG CT BL AL PLAS INC X 30; APS
1011801640017; POSTEC; POSTEC; NOT FOUND; 2.5 MG + 150 UTR POM DERM CT BG AL X 10 G; APS
1011801640033; POSTEC; POSTEC; NOT FOUND; 2.5 MG + 150 UTR POM DERM CT BG AL X 20 G; APS
1011801310068; PRIMID; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 100; APS
1011801310092; PRIMID; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 20; APS
1011801310157; PRIMID; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 60; APS
1011801310149; PRIMID; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 30; APS
1011801310165; PRIMID; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 90; APS
1011801310130; PRIMID; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 90; APS
1011801310114; PRIMID; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; APS
1011801310122; PRIMID; PRIMID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; APS
