1011801610029; CIPROSTAT; CIPROSTAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; APS
1011806020025; CLONIX; CLONIX; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP X 4ML; APS
1011806020017; CLONIX; CLONIX; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP X 4ML; APS
1011806020033; CLONIX; CLONIX; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP X 4ML; APS
1011806030055; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 60; APS
1011806030055; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 60; APS
1011806030047; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 30; APS
1011801090017; COLCHIS; COLCHIS; NOT FOUND; 0.5 MG COM CT BL AL PLAS AMB X 20; APS
1011801090033; COLCHIS; COLCHIS; NOT FOUND; 1.0 MG COM CT BL AL PLAS AMB X 20; APS
1011805950029; COLCHIS; COLCHIS; NOT FOUND; 1.0 MG COM CT BL AL PLAS AMB X 30; APS
1011801090041; COLCHIS; COLCHIS; NOT FOUND; 0.5 MG COM CT BL AL PLAS AMB X 30; APS
