1011801570094; LABIRIN; LABIRIN; NOT FOUND; 16 MG COM CT 2 BL AL PLAS INC X 15; APS
1011801570086; LABIRIN; LABIRIN; NOT FOUND; 8 MG COM CT 2 BL AL PLAS INC X 15; APS
1011801570140; LABIRIN; LABIRIN; NOT FOUND; 24 MG CX C/ 20 COMP.; APS
1011801570132; LABIRIN; LABIRIN; NOT FOUND; 16 MG COM CT 2 BL AL PLAS INC X 18; APS
1011801570159; LABIRIN; LABIRIN; NOT FOUND; 24 MG COM CT 2 BL AL PLAS INC X 15; APS
1011805960032; LABIRIN; LABIRIN; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 60; APS
1011801570116; LABIRIN; LABIRIN; NOT FOUND; 16 MG COM CT 3 BL AL PLAS INC X 20; APS
1011801570108; LABIRIN; LABIRIN; NOT FOUND; 8 MG COM CT 3 BL AL PLAS INC X 20; APS
1011805930079; LONIUM; LONIUM; NOT FOUND; 40 MG CX C/ 10 COMP REVEST; APS
1011805930095; LONIUM; LONIUM; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30 ; APS
1011805930109; LONIUM; LONIUM; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 60; APS
1011801280010; LITOCIT; LITOCIT; NOT FOUND; 10 MEQ COM REV LIB RETARD CT FR PLAS OPC X 60; APS
1011801280045; LITOCIT; LITOCIT; NOT FOUND; 5 MEQ COM REV LIB RETARD CT FR PLAS OPC X 60; APS
1011801490066; LEVOXIN; LEVOXIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7; APS
1011801490082; LEVOXIN; LEVOXIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 3; APS
1011801490104; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; APS
1011801490090; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; APS
1011801490031; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; APS
1011801490112; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; APS
1011800050283; LIDOSPRAY; LIDOSPRAY; NOT FOUND; 10 PCC SOL TOP CT FR VD INC SPRAY X 50 ML; APS
