72658, ABCALCIUM B12 , ABCALCIUM B12, NOT FOUND, SUSP ORAL 200 ML x 1, MD6
70017, ABCLER , ABCLER, NOT FOUND, FLACONETES 10 ML x 12, MD6
70018, ABCLER , ABCLER, NOT FOUND, FLACONETES 10 ML x 60, MD6
76681, ABCLER , ABCLER, NOT FOUND, SOL ORAL ABA 120 ML x 1, MD6
78683, ABEDERIL , ABEDERIL, NOT FOUND, CPR x 100, MD6
73041, ABEDERIL , ABEDERIL, NOT FOUND, CPR x 30, MD6
78401, ABEDERIL , ABEDERIL, NOT FOUND, CPR x 400, MD6
65597, ABEDOSEC , ABEDOSEC, NOT FOUND, CAPS 20 MG x 14, MD6
75586, ABEDOSEC , ABEDOSEC, NOT FOUND, CAPS 20 MG x 28, MD6
66339, ABEPOTEN , ABEPOTEN, NOT FOUND, CPR 50 MG x 20, MD6
66340, ABERALGINA , ABERALGINA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), MD6
66341, ABERALGINA , ABERALGINA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), MD6
70019, ABFOR GERIN , ABFOR GERIN, NOT FOUND, CPR REVEST x 30, MD6
73142, ABIDOR , ABIDOR, NOT FOUND, GOTAS 200 MG 20 ML x 1, MD6
65600, ABIFLAN , ABIFLAN, NOT FOUND, CPR 50 MG x 20, MD6
65601, ABIFLAN , ABIFLAN, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), MD6
86225, ALCAGEST , ALCAGEST, NOT FOUND, CAPS 350 MG x 100, MD6
73196, ALCAGEST , ALCAGEST, NOT FOUND, CAPS 350 MG x 45, MD6
70030, APEVINAT BC , APEVINAT BC, NOT FOUND, LIQD 200 ML x 1, MD6
