507902402152417; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML ; EQX
507902401156419; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML ; EQX
507902405151411; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
507902403159415; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
507902404155413; SOLUÇÃO RINGER SIMPLES EQUIPLEX; SOLUCAO RINGER SIMPLES EQUIPLEX; NOT FOUND; 0.86G + 0.03G + 0.033G SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML  ; EQX
507901804151417; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 12 FR PLAS TRANS SIST FECH X 1000 ML; EQX
507901807159419; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; EQX
507901808155417; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 48 FR PLAS TRANS SIST FECH X 250 ML; EQX
507901805156412; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 20 FR PLAS TRANS SIST FECH X 500 ML ; EQX
507901806152410; SOLUÇÃO RINGER COM LACTATO; SOLUCAO RINGER LACTATO; NOT FOUND; SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; EQX
507914060010904; SOLUÇÃO DE CLORETO DE POTASSIO; SOLUCAO CLORETO POTASSIO; NOT FOUND; 191 MG/ML SOL INJ IV CX 200 AMP PE X 10 ML; EQX
