1031100090473; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; H_I
1031100090481; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100090465; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100090503; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; H_I
1031100090511; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100090491; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100090538; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; H_I
1031100090546; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100090521; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031100090010; RINGER; RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 10 FR PLAS TRANS X 1000 ML; H_I
1031100090023; RINGER; RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 40 FR PLAS TRANS X 250 ML; H_I
1031100090031; RINGER; RINGER; NOT FOUND; 8.6 MG/ML + 0.3 MG/ML + 0.33 MG/ML SOL INJ CX 20 FR PLAS TRANS X 500 ML; H_I
1031100090090; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031100090066; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031100090082; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100090074; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML ; H_I
1031100090041; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100090058; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100090058; RINGER SOLUFLEX®; RINGER SOLUFLEX; NOT FOUND; BOLSA 500ML; H_I
1031100890021; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; FR 1000ML; H_I
1031100890062; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; FR 250ML; H_I
1031100890046; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; FR 500ML; H_I
1031100890011; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML ; H_I
1031100890054; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031100890038; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100890038; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100890070; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML; H_I
1031100890097; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML ; H_I
1031100890089; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100890275; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML    ; H_I
1031100890186; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML ; H_I
1031100890143; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML ; H_I
1031100890283; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML    ; H_I
1031100890224; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML ; H_I
1031100890208; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML ; H_I
1031100890291; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML    ; H_I
1031100890267; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML   ; H_I
1031100890240; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML  ; H_I
