1031100120021; GLICO FISIOLÓGICA; GLICO FISIOLOGICA; NOT FOUND; 2X1 FR 500ML; H_I
1031100120032; GLICO FISIOLÓGICA; GLICO FISIOLOGICA; NOT FOUND; 3X1 FR 250ML; H_I
1031100120040; GLICO FISIOLÓGICA; GLICO FISIOLOGICA; NOT FOUND; 3X1 FR 500ML; H_I
1031100120062; GLICO FISIOLÓGICA; GLICO FISIOLOGICA; NOT FOUND; 4X1 FR 500ML; H_I
1031101240037; GLICO FISIOLÓGICA ISOTÔNICA; GLICO FISIOLOGICA ISOTONICA; NOT FOUND; FR 1000ML; H_I
1031101240010; GLICO FISIOLÓGICA ISOTÔNICA; GLICO FISIOLOGICA ISOTONICA; NOT FOUND; FR 250ML; H_I
1031101240029; GLICO FISIOLÓGICA ISOTÔNICA; GLICO FISIOLOGICA ISOTONICA; NOT FOUND; FR 500ML; H_I
SI/NC; GLICO FISIOLÓGICA ISOTÔNICA SOLUFLEX®; GLICO FISIOLOGICA ISOTONICA SOLUFLEX; NOT FOUND; BOLSA 500ML; H_I
1031100050018; GLICERINA; GLICERINA; NOT FOUND; FR 250ML; H_I
1031100050026; GLICERINA; GLICERINA; NOT FOUND; FR 500ML; H_I
1031100050031; GLICERINA 12%; GLICERINA 12; NOT FOUND; 120 MG/ML SOL CX 20 BOLS PE TRANS X 500 ML + 20 APLIC; H_I
1031100350020; GLICONATO DE CÁLCIO; GLICONATO CALCIO; GLICONATO CALCIO; AMP 10ML; H_I
1031100350033; GLICONATO DE CALCIO 10%; GLICONATO CALCIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML; H_I
1031100130041; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 1000ML 10%; H_I
1031100130017; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 125ML 10%; H_I
1031100130025; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 250ML 10%; H_I
1031100130033; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 500ML 10%; H_I
1031100130051; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; AMP 10ML 25%; H_I
1031100130361; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 1000ML 5%; H_I
1031100130351; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 125ML 5%; H_I
1031100130386; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 250ML 5%; H_I
1031100130378; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; FR 500ML 5%; H_I
1031100130661; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML; H_I
1031100130653; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML; H_I
1031100130645; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML; H_I
1031100130114; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031100130084; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML; H_I
1031100130106; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ CX 40 BOLS TRANS PVC SIST FECH X 250 ML; H_I
1031100130394; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML ; H_I
1031100130076; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; 50MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML ; H_I
1031100130114; GLICOSE HALEX ISTAR; GLICOSE HALEX ISTAR; NOT FOUND; BOLSA 1000ML; H_I
