1031101240088; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031101240071; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031101240150; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (37.50 + 2.25) MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML; H_I
1031101240193; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (37.50 + 2.25) MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031101240142; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (37.50 + 2.25) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML ; H_I
1031101240134; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (37.50 + 2.25) MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031101240185; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (40.0 + 1.8) MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML ; H_I
1031101240207; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (40.0 + 1.8) MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031101240177; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (40.0 + 1.8) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031101240169; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (40.0 + 1.8) MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
1031101240126; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML; H_I
1031101240096; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML ; H_I
1031101240231; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML   ; H_I
1031101240215; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML  ; H_I
1031101240241; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML   ; H_I
1031101240223; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031101240258; HALEX ISTAR SOLUÇÃO GLICOFISIOLÓGICA; HALEX ISTAR SOLUCAO GLICOFISIOLOGICA; NOT FOUND; (50.0 + 9.0) MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML   ; H_I
1031100740052; HIFLOXAN; HIFLOXAN; NOT FOUND; 2 MG/ML SOL INJ IV CT BOLS PVC TRANS SIST FECH X 100 ML; H_I
1031100740060; HIFLOXAN; HIFLOXAN; NOT FOUND; 2 MG/ML SOL INJ IV CT BOLS PVC TRANS SIST FECH X 200 ML; H_I
1031100810042; HIBUTAN; HIBUTAN; NOT FOUND; 1 MG/ML SOL INJ CT  BOLS PLAS TRANS X 250 ML; H_I
1031100810026; HIBUTAN; HIBUTAN; NOT FOUND; 12.5 MG/ML SOL INJ CT 1 AMP VD INC X 20 ML; H_I
1031100810050; HIBUTAN; HIBUTAN; NOT FOUND; 2 MG/ML SOL INJ CT BOLS PLAS TRANS X 250 ML; H_I
1031100360012; HICLOFEN; HICLOFEN; NOT FOUND; 25 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML; H_I
1031100730022; HICONAZOL; HICONAZOL; NOT FOUND; BOLSA 50ML (FLUCONAZOL 100MG); H_I
1031100730030; HICONAZOL; HICONAZOL; NOT FOUND; BOLSA 100ML (FLUCONAZOL 100MG); H_I
1031100420023; HALEX ISTAR FRUTOSE; HALEX ISTAR FRUTOSE; NOT FOUND; FR 500ML 10%; H_I
1031100420031; HALEX ISTAR FRUTOSE; HALEX ISTAR FRUTOSE; NOT FOUND; FR 500ML 5%; H_I
1031100420058; HALEX ISTAR FRUTOSE; HALEX ISTAR FRUTOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
1031100420066; HALEX ISTAR FRUTOSE; HALEX ISTAR FRUTOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
1031100210037; HIDAZOL; HIDAZOL; NOT FOUND; FR 100ML (METRONIDAZOL 0.5%); H_I
1031100210045; HIDAZOL; HIDAZOL; NOT FOUND; BOLSA 100ML (METRONIDAZOL) SOLUFLEX(r)-SIST.FECHADO; H_I
1031100210053; HIDAZOL; HIDAZOL; NOT FOUND; 5 MG/ML SOL INJ CX 60 BOLS PE TRANS SIST FECH X 100 ML; H_I
