1031100570041; CEFALOTIM; CEFALOTIM; NOT FOUND; 1 G PO INJ CT 50 FA VD INC + AMP DIL X 4 ML; H_I
1031100570033; CEFALOTIM; CEFALOTIM; NOT FOUND; 1 G PO INJ CT FA VD INC + AMP DIL X 4 ML; H_I
1031101340031; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP); H_I
1031101340015; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/SOL INJ CT 50 FA VD INC (EMB HOSP) ; H_I
1031101340058; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/SOL INJ CT 50 FA VD INC + 50 DIL AMP X 10 ML (EMB HOSP); H_I
1031101340041; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/SOL INJ CT 50 FA VD INC + 50 DIL AMP X 5 ML (EMB HOSP); H_I
1031101340023; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1 G PO P/ SOL INJ CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP); H_I
1031101400026; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL X 3 ML (EMB HOSP); H_I
1031101400050; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 10 FA VD INC + 10 BOLS PP TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP); H_I
1031101400042; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR (EMB HOSP); H_I
1031101400018; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 50 FA VD INC (EMB HOSP); H_I
1031101400034; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL X 10 ML (EMB HOSP); H_I
1031101380025; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; 1 G PO P SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML COM CONECTOR (EM HOSP); H_I
1031101380051; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; 1 G PO P SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS TRANS X 10 ML (EM HOSP); H_I
1031101380041; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; 1 G PO P SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS TRANS X 3 ML (EM HOSP); H_I
1031101380017; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; 1 G PO P SOL INJ CT 50 FA VD INC (EM HOSP); H_I
1031101380033; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; CEFTAZIDIMA PENTAIDRATADA; 1 G PO P SOL INJ IV CT 10 FA VD INC + 10 BOLS TRILAMINADA PP TRANS SIST FECH X 100ML COM CONECTOR (EM HOSP); H_I
1031101200019; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ IV CT BOLS PVC TRANS X 100 ML (SIST FECH); H_I
1031101200035; CIPROFLOXACINO; CIPROFLOXACINO; CIPROFLOXACINO; 2 MG/ML SOL INJ IV CT BOLS PVC TRANS X 200 ML (SIST FECH); H_I
1031100920204; CLORETO DE POTASSIO HALEX ISTAR; CLORETO POTASSIO HALEX ISTAR; NOT FOUND; AMP 10ML; H_I
1031100920255; CLORETO DE POTASSIO HALEX ISTAR; CLORETO POTASSIO HALEX ISTAR; NOT FOUND; AMP 10ML; H_I
1031100920093; CLORETO DE POTASSIO HALEX ISTAR; CLORETO POTASSIO HALEX ISTAR; NOT FOUND; 0.10 MG/ML (10%) SOL INJ CX 100 AMP PLAS TRANS X 10 ML (EMB HOSP); H_I
1031100920050; CLORETO DE POTASSIO HALEX ISTAR; CLORETO POTASSIO HALEX ISTAR; NOT FOUND; 0.10 G/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML; H_I
1031100110261; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
1031100110237; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; AMP 20ML 0.9%; H_I
1031100110016; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 1000ML 0.9%; H_I
1031100110245; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 125ML 0.9%; H_I
1031100110253; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 2000ML 0.9%; H_I
1031100110024; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 250ML 0.9%; H_I
1031100110032; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 500ML 0.9%; H_I
1031100110245; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 125ML 0.9% C/TAMPA; H_I
1031100110024; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; FR 250ML 0.9% C/TAMPA; H_I
