1275800070011; GARGOTRICIN; GARGOTRICIN; NOT FOUND; SPRAY 25ML SABOR CEREJA; C6R
1275800070011; GARGOTRICIN; GARGOTRICIN; NOT FOUND; SPRAY 25ML SABOR LARANJA; C6R
1275800070011; GARGOTRICIN; GARGOTRICIN; NOT FOUND; SPRAY 25ML SABOR MENTA; C6R
1275800670027; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR CEREJA); C6R
1275800670019; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR MENTA); C6R
1275800670035; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 5 MG/ML + 1 MG/ML SOL OR SPRAY CT FR PLAS INC X 25 ML (SABOR LARANJA); C6R
1275800070038; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR CEREJA); C6R
1275800070021; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR LARANJA); C6R
1275800070046; GARGOTRICIN; GARGOTRICIN; NOT FOUND; 1.035 + 5 MG PAS CT 2 BL AL PLAS INC X 10 (SABOR MENTA); C6R
1275800640039; GELOFUT; GELOFUT; NOT FOUND; 0.0333 G/ML + 0.0083 G/ML + 0.0333 ML/ML SOL AER TOPICO TB AL X 120 ML; C6R
1275800230027; GELOFUT.; GELOFUT; NOT FOUND; 0.0444 ML/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 20; C6R
1275800230019; GELOFUT.; GELOFUT; NOT FOUND; 0.0444 ML/G + 0.0444 G/G + 0.0200 G/G + 0.2222 ML/G POM DERM CT BG AL X 45 G; C6R
1275800640012; GELOFUT; GELOFUT; NOT FOUND; (0.0444G+0.0200G + 0.0444ML)/G POM DERM CT BG AL X 20G ; C6R
1275800640020; GELOFUT; GELOFUT; NOT FOUND; (0.0444G+0.0200G + 0.0444ML)/G POM DERM CT BG AL X 45G ; C6R
1275800470011; GUARANAX; GUARANAX; NOT FOUND; 0.135 ML/ML EXT FL CT 48 FLAC X 10 ML; C6R
