1624100050086; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); M1L
1624100050019; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 30; M1L
1624100050043; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 60 (EMB FRAC); M1L
1624100050051; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT  BL AL PLAS INC X 90 (EMB FRAC); M1L
1624100050061; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 30; M1L
1624100050078; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.00 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); M1L
1624100050094; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 30 ; M1L
1624100050027; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); M1L
1624100050035; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.00 MG COM CT BL AL PLAS INC X 90 (EMB FRAC); M1L
1624100050108; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
1624100050116; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.0 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
1624100050124; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.0 MG COM DISP BL AL PLAS INC X 600 (EMB HOSP); M1L
1624100100016; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR PLAS GOT X 20 ML; M1L
1624100100024; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG /ML SOL OR CX 48 FR PLAS GOT X 20 ML (EMB HOSP); M1L
1624100020012; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; M1L
1624100020020; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
1624100020039; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; M1L
1624100020047; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
1624100020055; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR PET AMB X 100 ML + CP MED; M1L
1624100020063; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
1624100020071; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR PET AMB X 100 ML + CP MED; M1L
1624100020081; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
1624100040013; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FRAS PLAS OPC GOT X 10 ML ; M1L
1624100040021; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 48 FRAS PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100040031; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CX 96 FRAS PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100160019; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CT FR PLAS INC GOTEJADOR X 30 ML; M1L
1624100160051; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 24 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
1624100160078; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 96 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
1624100160061; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.50 MG/ML SOL NASAL CX 48 FR PLAS INC GOTEJADOR X 30 ML (EMB HOSP); M1L
