1624100170014; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 100 ML + CP MED; M1L
1624100170022; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 120 ML + CP MED ; M1L
1624100170030; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
1624100170049; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 100 ML + 96 CP MED (EMB HOSP); M1L
1624100170057; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
1624100170065; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 120 ML + 96 CP MED (EMB HOSP) ; M1L
1624100060049; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 48 FR PLAS OPC X 30 ML + 48 CP MED (EMB HOSP); M1L
1624100060022; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT 48 FR PLAS AMB X 30 ML + 48 CP MED (EMB HOSP); M1L
1624100060030; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT 96 FR PLAS AMB X 30 ML + 96 CP MED (EMB HOSP); M1L
1624100060014; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML + CP MED ; M1L
1624100060073; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 100 FR PLAS OPC X 30 ML + 100 CP MED (EMB HOSP); M1L
1624100060057; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 30 ML + 50 CP MED (EMB HOSP); M1L
1624100060065; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 96 FR PLAS OPC X 30 ML + 96 CP MED (EMB HOSP); M1L
