1624100190015; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CT FR PLAS AMB X 100 ML + COP; M1L
1624100190023; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CT FR PLAS AMB X 120 ML + COP; M1L
1624100190031; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 48 FR PLAS AMB X 100 ML + 48 COP (EMB HOSP); M1L
1624100190041; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 96 FR PLAS AMB X 100 ML + 96 COP (EMB HOSP); M1L
1624100190058; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 48 FR PLAS AMB X 120 ML + 48 COP (EMB HOSP); M1L
1624100190066; POLARAX; POLARAX; NOT FOUND; 2MG/ 5ML SOL OR CX 96 FR PLAS AMB X 120 ML + 96 COP (EMB HOSP); M1L
1624100090037; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 20 ML; M1L
1624100090045; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100090061; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
1624100090088; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
1624100090053; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100090071; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
1624100090096; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CX 96 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
1624100090010; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 10 ML; M1L
1624100090029; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ ML SOL OR CT FR PLAS OPC GOT X 15 ML; M1L
1624100010017; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 4; M1L
1624100010025; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 8; M1L
1624100010033; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 4 (EMB MULT); M1L
1624100010051; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 25 BL AL PLAS LAR X 8 (EMB MULT); M1L
1624100010041; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISP 50 BL AL PLAS LAR X 4 (EMB MULT); M1L
1624100010068; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS LAR X 4; M1L
1624100010076; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS LAR X 8; M1L
1624100010106; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 125 BL AL PLAS LAR X 4; M1L
1624100010084; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 25 BL AL PLAS LAR X 4; M1L
1624100010092; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 25 BL AL PLAS LAR X 8; M1L
1624100010335; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 25 BL AL PLAS LAR X 4 (EMB HOSP); M1L
1624100010327; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 25 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010319; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 250 BL AL PLAS LAR X 4 (EMB HOSP); M1L
1624100010300; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 250 BL AL PLAS LAR X 4; M1L
1624100010297; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 250 BL AL PLAS LAR X 8 (EMB HOSP); M1L
1624100010289; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 250 BL AL PLAS LAR X 8; M1L
1624100010270; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 250 BL AL PLAS LAR X 4 (EMB HOSP); M1L
1624100010262; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISP 250 BL AL PLAS LAR X 4; M1L
