1624100200029; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CX 48 FR GOT PLAS OPC X 20 ML (EMB HOSP); M1L
1624100200037; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CX 96 FR GOT PLAS OPC X 20 ML (EMB HOSP); M1L
1624100200010; DIGESOL; DIGESOL; NOT FOUND; 4 MG/ML SOL GOT CT FR GOT PLAS OPC X 20 ML; M1L
1624100030018; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; M1L
1624100030026; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; M1L
1624100030034; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; M1L
1624100030085; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100030042; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
1624100030069; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 48 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
1624100030093; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 10 ML (EMB HOSP); M1L
1624100030050; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 15 ML (EMB HOSP); M1L
1624100030077; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 96 FR PLAS OPC GOT X 20 ML (EMB HOSP); M1L
1624100080023; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100 (EMB FRAC); M1L
1624100080031; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC); M1L
1624100080015; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 10 (EMB FRAC); M1L
1624100080041; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 500 (EMB FRAC); M1L
1624100080090; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250; M1L
1624100080104; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 250 (EMB FRAC) ; M1L
1624100080112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500; M1L
1624100080120; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 2500 (EMB FRAC) ; M1L
