524303908131413; GASTROL; GASTROL; NOT FOUND; SUSPENSAO 250 ML; LR3
524303912171416; GASTROL; GASTROL; NOT FOUND; 37 MG/G + 47 MG/G + 35.6 MG/G PO EFEV CT 50 ENV AL X 5 G PAPAIA; LR3
524303909111416; GASTROL; GASTROL; NOT FOUND; TC C/30 PASTILHAS; LR3
524303902131411; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE ABACAXI C/12 SA; LR3
524303904134418; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LARANJA C/12 SA; LR3
524303906137414; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LIMAO C/12 SACH; LR3
524303911130414; GASTROL; GASTROL; NOT FOUND; 0.037 G+0.0463 G+ 0.0356 G/ML SUS OR CT FR VD AMB X 250 ML SABOR PAPAIA; LR3
524303903138411; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE ABACAXI C/50 SA; LR3
524303905130416; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LARANJA C/50 SA; LR3
524303907133412; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LIMAO C/50 SACH; LR3
524303910134416; GASTROL; GASTROL; NOT FOUND; TC SUSPENSAO 240 ML; LR3
