1018004000011; ELIQUIS; ELIQUIS; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 10; BMS
1018004000054; ELIQUIS; ELIQUIS; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); BMS
1018004000021; ELIQUIS; ELIQUIS; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 20; BMS
1018004000038; ELIQUIS; ELIQUIS; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 60; BMS
1018004000046; ELIQUIS; ELIQUIS; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); BMS
1018004000062; ELIQUIS; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 20 ; BMS
1018004000100; ELIQUIS; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 60 ; BMS
1018004000119; ELIQUIS; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); BMS
1018004000127; ELIQUIS; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 200; BMS
1018002540061; EXCEDRIN; EXCEDRIN; NOT FOUND; CARTUCHO COM 2 BLISTERS X 10; BMS
1018002540019; EXCEDRIN; EXCEDRIN; NOT FOUND; CARTUCHO COM 50 BLISTERS X 4; BMS
1018001490050; ESPASMO LUFTA; ESPASMO LUFTA; NOT FOUND; CARTUCHO COM FR X 20 ML; BMS
