1018004010017; NULOJIX; NULOJIX; NOT FOUND; 250 MG PO LIOF INJ FA CT  + SER PLAST DESC ; BMS
1018004010025; NULOJIX; NULOJIX; NOT FOUND; 250 MG PO LIOF INJ 2 FA CT  + 2 SER PLAST DESC ; BMS
1018001460062; NALDECON; NALDECON; NOT FOUND; CARTUCHO FR. X 15 ML - BEBE; BMS
1018001460038; NALDECON; NALDECON; NOT FOUND; 40 MG/ML + 1MG/ML + 0.40 MG/ML SOL OR CT FR VD AMB X 60 ML + CP DOSAD; BMS
1018001460021; NALDECON; NALDECON; NOT FOUND; 400 MG + 20 MG COM AMARELO/400 MG + 4 MG COM LARANJA CT BL AL/AL X 12 + 12; BMS
1018001460089; NALDECON; NALDECON; NOT FOUND; 400 MG + 20 MG COM AMARELO/400 MG + 4 MG COM LARANJA DISP BL AL/AL X 100 + 100; BMS
1018003940029; NALDECON PACK; NALDECON PACK; NOT FOUND; 400 MG + (400 MG + 20 MG) + (400 MG + 4 MG) COM CX BL AL/AL X 50 + 75 + 25; BMS
1018003940010; NALDECON PACK; NALDECON PACK; NOT FOUND; 400 MG + (400 MG + 20 MG) + (400 MG + 4 MG) COM CX BL AL/AL X 8 + 12 + 4; BMS
1018002780028; NALDECON DIA; NALDECON DIA; NOT FOUND; 800 MG + 20 MG COM CX 25 BL AL/AL X 2 COM AMARELO + 2 COM BRANCO; BMS
1018002780011; NALDECON DIA; NALDECON DIA; NOT FOUND; 800 MG + 20 MG COM CT 3 BL AL /AL X 4 COM AMARELO + 4 COM BRANCO; BMS
1018002650019; NEXVEP; NEXVEP; NOT FOUND; CARTUCHO COM 1 FA; BMS
