1018002790074; ABILIFY; ABILIFY; NOT FOUND; 15 MG COM CT BL AL/AL X 10; BMS
1018002790082; ABILIFY; ABILIFY; NOT FOUND; 15 MG COM CT BL AL/AL X 30; BMS
1018002790090; ABILIFY; ABILIFY; NOT FOUND; 20 MG COM CT BL AL/AL X 10; BMS
1018002790104; ABILIFY; ABILIFY; NOT FOUND; 20 MG COM CT BL AL/AL X 30; BMS
1018002790120; ABILIFY; ABILIFY; NOT FOUND; 30 MG COM CT BL AL/AL X 30; BMS
1018002790058; ABILIFY; ABILIFY; NOT FOUND; 10 MG COM CT BL AL/AL X 10; BMS
1018002790252; ABILIFY; ABILIFY; NOT FOUND; 10MG COM CT BL AL/AL X 30; BMS
1018001000010; AZACTAM; AZACTAM; NOT FOUND; INJ. 0.5 G - CARTUCHO COM 1 FA + DILUENTE; BMS
1018001000029; AZACTAM; AZACTAM; NOT FOUND; 1.0 G PO INJ CT FA VD INC + SOL DIL X 3.0 ML; BMS
1018001120029; ALCA LUFTAL; ALCA LUFTAL; NOT FOUND; 53.30 MG + 396.00 MG + 40.00 + MG GEL CT FR VD AMB X 120 ML; BMS
1018002660049; AVAPRO; AVAPRO; NOT FOUND; CARTUCHO COM 2 BLISTER X 14; BMS
