1018001150144; PARAPLATIN; PARAPLATIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 15ML REV PAPEL CARTAO; BMS
1018001150152; PARAPLATIN; PARAPLATIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 45ML REV PAPEL CARTAO; BMS
1018001150136; PARAPLATIN; PARAPLATIN; NOT FOUND; 50MG SOL. INJ. CARTUCHO COM 1 FA; BMS
1018001430015; PLATIRAN; PLATIRAN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 20 ML; BMS
1018001430058; PLATIRAN; PLATIRAN; NOT FOUND; 0.5 MG/ML SOL INJ CT FA VD AMB X 100 ML; BMS
1018001440028; POLIPLEX; POLIPLEX; NOT FOUND; CARTUCHO COM FR X 200ML; BMS
1018001010091; PRAVACOL; PRAVACOL; NOT FOUND; 10 MG COM CT BL AL/AL X 10; BMS
1018001010105; PRAVACOL; PRAVACOL; NOT FOUND; 10 MG COM CT BL AL/ AL X 30; BMS
1018001010121; PRAVACOL; PRAVACOL; NOT FOUND; 20 MG COM CT BL AL/AL X 30; BMS
1018001010148; PRAVACOL; PRAVACOL; NOT FOUND; 40 MG COM CT FR PLAS OPC X 30; BMS
1018001020015; POLY-VI-FLUOR; POLY VI FLUOR; NOT FOUND; CARTUCHO COM FR X 30ML; BMS
